mean_ctrl,mean_patient,genename,uniprot
18898.9,18179,SLC25A40,Q8TBP6
19541.8,16933,NME4,O00746
19789.9,42023.1,GPAM,Q9HCL2
20082,14678.1,MUL1,Q969V5
20141.2,15216.7,L2HGDH,Q9H9P8;Q9H9P8-2
20141.7,23386.3,COA7,Q96BR5
20209.3,16569.2,TRMU,O75648;O75648-2
20606.8,24811.8,DUS2,Q9NX74
20659,19707.3,TXN2,Q99757
20857.4,24305.7,TFB2M,Q9H5Q4
20920.7,19694.3,BCKDK,O14874;O14874-2;O14874-3
20934.8,18281.4,CHCHD2,Q9Y6H1
21392.9,23734.8,FOXRED1,Q96CU9
21469.9,18657.4,MTIF2,P46199
21471.5,19066.7,CISD3,P0C7P0
21750.8,93475.8,YRDC,Q86U90
22038.8,26709.2,CISD1,Q9NZ45
22231.7,16998.4,WARS2,Q9UGM6
22345.6,14963.4,PISD,Q9UG56;Q9UG56-2
22365.8,24339.8,FDX2,Q6P4F2
22476,17328.1,DHTKD1,Q96HY7
22795.9,15525.6,PPTC7,Q8NI37
22889.8,37879.1,BAK1,Q16611
22989.4,21590.2,CHCHD6,Q9BRQ6
23549.8,21876,PRORP,O15091;O15091-2
23570,40347.7,MMADHC,Q9H3L0
23630.6,28234.8,SPIRE1,Q08AE8;Q08AE8-2
23697,30836.9,BOLA3,Q53S33
23764.1,26246.4,STX17,P56962
23839.2,30077.9,CHCHD4,Q8N4Q1;Q8N4Q1-2
23898.3,18000.2,NDUFAF7,Q7L592
23901.3,28326.8,MCL1,Q07820
23917.5,27184.4,HINT2,Q9BX68
24080.6,25745.8,SLC25A51,Q9H1U9
24324.9,19223.8,COX11,Q9Y6N1
24389.8,39394,ERAL1,O75616
24401.2,17144.2,ACAD8,Q9UKU7
24410.2,22536,HSCB,Q8IWL3
24889.5,28255.6,SIRT3,Q9NTG7
25038,38891.6,C2orf69,Q8N8R5
25047,19733.2,ABAT,P80404
25327.7,28426.8,COA6,Q5JTJ3;Q5JTJ3-2;Q5JTJ3-3
25843.2,33602.1,CHPT1,Q8WUD6
25902.5,15111.8,TMLHE,Q9NVH6;Q9NVH6-7;Q9NVH6-8
25960.5,22053.3,FPGS,Q05932;Q05932-2;Q05932-3;Q05932-4
26318.3,32464.9,GDAP1,Q8TB36;Q8TB36-2
26546.8,46516.8,NOCT,Q9UK39
26585.2,12879.2,MTFMT,Q96DP5
26624.1,22367.3,CCDC58,Q4VC31
26692.9,25237.6,NBR1,Q14596;Q14596-2
27212.6,25205.3,BNIP3L,O60238;O60238-2
27354.6,25429,QRSL1,Q9H0R6
27403.3,62211.5,AGPAT4,Q9NRZ5
27708.9,30755.9,SLC25A32,Q9H2D1
27872.1,25823.4,DMAC1,Q96GE9;Q96GE9-2
27962.3,21945,MICU2,Q8IYU8
28129.5,42492.7,SLC25A16,P16260
28131.1,26522.3,NME6,O75414
28454.1,50110.7,HTATIP2,Q9BUP3-3
28622,29441.6,STARD7,Q9NQZ5
28664.7,30201.5,FASTKD5,Q7L8L6
28714.8,28959.9,MTPAP,Q9NVV4
29042.1,30960.1,AKAP10,O43572
29107.5,26047.7,MCUR1,Q96AQ8
29155.8,31211.6,GCAT,O75600;O75600-2
29190.6,27977.8,RCC1L,Q96I51
29198.2,31328.5,RDH13,Q8NBN7
29672.6,34379.5,FASTKD2,Q9NYY8;Q9NYY8-2
29766.7,30341.2,RTN4IP1,Q8WWV3
29774.9,42187.6,RPIA,P49247
29847,24437.2,MTRES1,Q9P0P8
29998.8,18769.8,POLG2,Q9UHN1
30646.4,30516.8,CASP8,Q14790;Q14790-2;Q14790-4;Q14790-9
31064.2,27755.6,ATPAF2,Q8N5M1
31067.7,27680.7,COQ8B,Q96D53;Q96D53-2
31152.4,24063.7,MTFR1L,Q9H019;Q9H019-3
31174.3,26501.2,GTPBP6,O43824
31303.4,50906.9,MRM1,Q6IN84
31881.6,34439.2,TRMT1,Q9NXH9;Q9NXH9-2
32008.4,40231.3,MIEF1,Q9NQG6
32022,28857.5,TRMT5,Q32P41
32261.7,25775.6,SPATA20,Q8TB22;Q8TB22-2;Q8TB22-3
32356.7,39668.7,SCO2,O43819
32484.3,29928,DHODH,Q02127
32562.6,21512.9,COX15,Q7KZN9;Q7KZN9-2
32796.8,51209.2,DBI,P07108
32844.1,48772.5,MTERF4,Q7Z6M4
32950.6,23203.7,EXOG,Q9Y2C4
33080.4,31339.4,FLAD1,Q8NFF5;Q8NFF5-2
33468.3,25259.2,ATAD3B,Q5T9A4
33516.6,24163.1,TIMMDC1,Q9NPL8
33840.4,35807.7,ABCB6,Q9NP58;Q9NP58-4
33852.3,11157.2,FARS2,O95363
33856,58040.1,IDI1,Q13907
34231.7,44378.3,SPRYD4,Q8WW59
34239,41645,MMAB,Q96EY8
34254.3,32904.6,MRM3,Q9HC36
34621,45957.3,MTX3,Q5HYI7
34901,35154.5,BOLA1,Q9Y3E2
35106.9,38308.3,BCS1L,Q9Y276
35148.8,35593.2,COX16,Q9P0S2
35209.7,26065.5,LYRM7,Q5U5X0
35217.4,22415.3,PDP1,Q9P0J1;Q9P0J1-2
35229.2,24751.5,MTIF3,Q9H2K0
35963.7,25874.2,IBA57,Q5T440
36014.2,29815,TIMM17B,O60830;O60830-2
36040.6,39798.7,TOMM22,Q9NS69
36066.3,29270.4,BCL2L13,Q9BXK5
36078.1,36126.5,TIMM29,Q9BSF4
36275.6,30869.4,VWA8,A3KMH1;A3KMH1-3
36279.6,21878.4,PCCA,P05165;P05165-2
36412.8,23311.3,DIABLO,Q9NR28;Q9NR28-2
36488.4,39029,MACROD1,Q9BQ69
36589.7,39662.3,NFU1,Q9UMS0;Q9UMS0-3
36675.5,39436.3,PANK2,Q9BZ23;Q9BZ23-3;Q9BZ23-4
36806.8,40164.3,ABCB10,Q9NRK6
36956,35270.3,MIPEP,Q99797
37097.3,38171.2,MCUB,Q9NWR8
37128.1,32955.8,ACSF3,Q4G176
37197.9,27959.7,PPOX,P50336
37491.5,35989,TMEM126A,Q9H061
37530.7,27105.1,ARMC10,Q8N2F6;Q8N2F6-3
37714.6,39487.4,FAM210A,Q96ND0
37738.4,28437.7,AARS2,Q5JTZ9
37830.2,45431.8,MIGA2,Q7L4E1
37949,23665.7,BPHL,Q86WA6;Q86WA6-2
38106.6,29496.1,LYRM4,Q9HD34
38151.8,30741.9,DGLUCY,Q7Z3D6;Q7Z3D6-2
38307.2,19789.5,ACSF2,Q96CM8;Q96CM8-2;Q96CM8-3
38390.6,39535,TFB1M,Q8WVM0
38586.8,29720.1,POLB,P06746
38594.5,46950.8,PTRH1,Q86Y79
38653.8,17945.8,MTO1,Q9Y2Z2;Q9Y2Z2-2;Q9Y2Z2-4;Q9Y2Z2-6
38986.6,26866,CROT,Q9UKG9;Q9UKG9-3
39003,37321.4,SLC25A10,Q9UBX3;Q9UBX3-2
39040.3,43532.5,CLPB,Q9H078-2
39068.1,44982.1,VARS2,Q5ST30;Q5ST30-3;Q5ST30-4
39260.3,44892.6,PDK1,Q15118
39309,31112,ACAD11,Q709F0
39316.1,40712.1,LIG3,P49916;P49916-3
39392,30190.9,TARS2,Q9BW92
39583.3,48539.6,YME1L1,Q96TA2;Q96TA2-2;Q96TA2-3
39690.1,41192.7,PDHX,O00330;O00330-3
39757,40063.3,SDSL,Q96GA7
39818.4,40791.6,NDUFAF1,Q9Y375
39859.5,29172.9,XPNPEP3,Q9NQH7;Q9NQH7-4
39877,36931,DNLZ,Q5SXM8
39947.1,32300.2,MCEE,Q96PE7
40053.7,36388.6,METTL5,Q9NRN9
40062,45669.7,PGS1,Q32NB8
