"genename","uniprot","mean_patient","mean_ctrl","mito","complex"
"STMN1","P16949",290519.947933333,490229.45002,"nonmito",""
"STOM","P27105",163524.9375,242636.04378,"mito",""
"STOML1","Q9UBI4;Q9UBI4-2;Q9UBI4-3;Q9UBI4-4;Q9UBI4-6",29743.1217466667,31782.637502,"nonmito",""
"STOML2","Q9UJZ1",104501.893233333,136427.7594,"mito",""
"STON1","Q9Y6Q2;Q9Y6Q2-2;Q9Y6Q2-3",8354.863444,5500.920752,"nonmito",""
"STRADA","Q7RTN6;Q7RTN6-2;Q7RTN6-3;Q7RTN6-4;Q7RTN6-5;Q7RTN6-6",34331.10091,24818.903906,"nonmito",""
"STRAP","Q9Y3F4;Q9Y3F4-2",141376.385466667,152480.8969,"nonmito",""
"STRIP1","Q5VSL9",44538.69531,35644.542188,"nonmito",""
"STRN","O43815",56196.6888033333,54401.598438,"nonmito",""
"STRN3","Q13033-2",51467.3802066667,45651.60469,"nonmito",""
"STRN4","Q9NRL3;Q9NRL3-3",25784.8457066667,21118.331252,"nonmito",""
"STS","P08842",28574.4759133333,41049.13086,"nonmito",""
"STT3A","P46977",289102.125,287005.4969,"nonmito",""
"STT3B","Q8TCJ2",170209.203133333,169180.9469,"nonmito",""
"STUB1","Q9UNE7",29294.96354,55566.592188,"nonmito",""
"STX10","O60499",12911.58366,14669.5300776,"nonmito",""
"STX12","Q86Y82",79552.5208366667,146927.49064,"nonmito",""
"STX16","O14662",26352.8444,29927.386718,"nonmito",""
"STX18","Q9P2W9",22081.1425766667,28412.058204,"nonmito",""
"STX2","P32856;P32856-2;P32856-3",31582.5722633333,30699.291798,"nonmito",""
"STX4","Q12846",52764.29297,48738.378126,"nonmito",""
"STX5","Q13190;Q13190-4",33615.9459633333,39296.678126,"nonmito",""
"STX6","O43752",19657.3665366667,27841.307032,"nonmito",""
"STX7","O15400;O15400-2",41831.29297,120607.82658,"nonmito",""
"STX8","Q9UNK0",28734.00521,49385.034374,"nonmito",""
"STXBP1","P61764",49236.5312466667,60846.634376,"nonmito",""
"STXBP3","O00186",59401.1692733333,47033.46953,"nonmito",""
"STXBP5","Q5T5C0",32915.21094,37168.44297,"nonmito",""
"SUB1","P53999",340586.6042,354608.93752,"nonmito",""
"SUCLA2","Q9P2R7;Q9P2R7-2",57281.55339,60927.632814,"mito",""
"SUCLG1","P53597",105504.453133333,104836.248444,"mito",""
"SUCLG2","Q96I99",49342.78646,62660.866406,"mito",""
"SUGP1","Q8IWZ8",11261.7402333333,13577.7558608,"nonmito",""
"SUGP2","Q8IX01;Q8IX01-4",18703.4140666667,22200.762892,"nonmito",""
"SUGT1","Q9Y2Z0",80129.5833366667,81201.915626,"nonmito",""
"SULF1","Q8IWU6",29584.5397133333,38431.2287108,"nonmito",""
"SUMF1","Q8NBK3;Q8NBK3-2;Q8NBK3-5",27680.6549466667,39679.068362,"nonmito",""
"SUMF2","Q8NBJ7",141120.703133333,131326.334396,"nonmito",""
"SUMO1","P63165",61792.9453166667,65214.868752,"nonmito",""
"SUMO2","P61956;P61956-2",27195.0227833333,23786.98672,"nonmito",""
"SUMO3","P55854;P55854-2",343305.3646,271735.92502,"nonmito",""
"SUN1","O94901-9",31542.9186166667,23319.873828,"nonmito",""
"SUN2","Q9UH99;Q9UH99-2",134065.231766667,86001.590618,"nonmito",""
"SUOX","P51687",16248.2220066667,12872.341604,"mito",""
"SUPT16H","Q9Y5B9",68117.6458333333,58111.521092,"nonmito",""
"SUPT5H","O00267;O00267-2",24506.46159,22707.51172,"nonmito",""
"SUPT6H","Q7KZ85",17319.58301,16860.278322,"nonmito",""
"SUPV3L1","Q8IYB8",34660.7070333333,29817.88164,"mito",""
"SURF4","O15260",837966.583333333,708516.05,"nonmito",""
"SURF6","O75683",32836.2102866667,26204.710938,"nonmito",""
"SVIL","O95425;O95425-2;O95425-3;O95425-4",17939.5703166667,23068.774806,"nonmito",""
"SWAP70","Q9UH65",68396.78906,71717.820314,"nonmito",""
"SYAP1","Q96A49",9800.91764466667,20716.8666,"nonmito",""
"SYDE1","Q6ZW31",24946.2851566667,26648.49844,"nonmito",""
"SYMPK","Q92797",17769.1289066667,13642.139258,"nonmito",""
"SYNC","Q9H7C4-2",29049.7799466667,58971.364848,"nonmito",""
"SYNCRIP","O60506",446983.364633333,362889.14378,"nonmito",""
"SYNE1","Q8NF91",46654.6875,19065.595508,"nonmito",""
"SYNE1","Q8NF91-4",12500.2301443333,6136.7904296,"nonmito",""
"SYNE3","Q6ZMZ3",38329.5781233333,27453.334374,"nonmito",""
"SYNGR1","O43759;O43759-2",52479.6210933333,43067.713282,"nonmito",""
"SYNJ1","O43426",16863.8333333333,14474.949806,"nonmito",""
"SYNJ2","O15056",60986.21875,38794.710938,"nonmito",""
"SYNJ2BP","P57105",50399.17448,48764.978906,"mito",""
"SYNPO2","Q9UMS6",7533.98958333333,30399.963672,"nonmito",""
"SYPL1","Q16563-2",359945.281266667,453702.38752,"nonmito",""
"SYVN1","Q86TM6;Q86TM6-2;Q86TM6-3",32735.7962233333,35188.23086,"nonmito",""
"TAB1","Q15750;Q15750-2",27291.2591166667,25702.335156,"nonmito",""
"TAB2","Q9NYJ8",9507.31803233333,13953.216406,"nonmito",""
"TACC1","O75410;O75410-2;O75410-9",13289.93978,21294.596484,"nonmito",""
"TACO1","Q9BSH4",24085.7057266667,23550.496094,"mito",""
"TAF15","Q92804;Q92804-2",280055.843766667,240235.75314,"nonmito",""
"TAGLN","Q01995",1097095.97933333,989017.8,"nonmito",""
"TAGLN2","P37802;P37802-2",402928.125033333,446666.14376,"nonmito",""
"TALDO1","P37837",318586.6667,283409.2469,"nonmito",""
"TAMM41","Q96BW9-3",15422.6266266667,10324.6911122,"mito",""
"TANC2","Q9HCD6;Q9HCD6-2",6858.371094,10526.8839846,"nonmito",""
"TANGO2","Q6ICL3;Q6ICL3-3;Q6ICL3-4",24601.12435,27183.246484,"nonmito",""
"TANGO6","Q9C0B7",8486.034668,9821.1704114,"nonmito",""
"TAOK1","Q7L7X3",22992.65495,26867.046092,"nonmito",""
"TAOK2","Q9UL54-2",17895.63281,22841.209376,"nonmito",""
"TAOK3","Q9H2K8",18540.0058566667,31839.004686,"nonmito",""
"TAP1","Q03518",41341.7096366667,49644.903908,"nonmito",""
"TAP2","Q03519",29555.9401033333,32302.951562,"nonmito",""
"TAPBP","O15533;O15533-2;O15533-3",78069.2083333333,90408.653128,"nonmito",""
"TAPT1","Q6NXT6",15879.21419,16788.605664,"nonmito",""
"TARBP1","Q13395",10984.8108696667,9932.5895514,"nonmito",""
"TARDBP","Q13148",115648.221366667,108104.467178,"nonmito",""
"TARS1","P26639;P26639-2",345378.2917,248042.13126,"nonmito",""
"TASOR","Q9UK61;Q9UK61-3;Q9UK61-4",17948.9244766667,14210.800588,"nonmito",""
"TATDN1","Q6P1N9",42656.62891,44241.257812,"nonmito",""
"TAX1BP1","Q86VP1;Q86VP1-2",10954.93099,16793.496872,"nonmito",""
