"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"USP8","P40818",52140.06,49247.0666666667,"nonmito",""
"USP9X","Q93008;Q93008-1",79983.82,78962.5333333333,"nonmito",""
"UTP14A","Q9BVJ6",43561,34551.6333333333,"nonmito",""
"UTP15","Q8TED0",46953.98,44147.4,"nonmito",""
"UTP18","Q9Y5J1",49537.34,44012.1666666667,"nonmito",""
"UTP20","O75691",46938.5,49016.7,"nonmito",""
"UTP3","Q9NQZ2",43462.92,36651.3333333333,"nonmito",""
"UTP4","Q969X6",82276.04,82629.5333333333,"nonmito",""
"UTP6","Q9NYH9",34569.46,36506.1666666667,"nonmito",""
"UTRN","P46939",80749.08,85554.8,"nonmito",""
"UXS1","Q8NBZ7;Q8NBZ7-2",48654.1333333333,24148.355,"nonmito",""
"UXT","Q9UBK9;Q9UBK9-2",72070.44,46305.7666666667,"nonmito",""
"VAC14","Q08AM6",49795.56,45674.6,"nonmito",""
"VAMP3","Q15836",430006.2,443355,"nonmito",""
"VAMP4","O75379;O75379-2",35346.64,43391.8333333333,"nonmito",""
"VAMP5","O95183",155210.2,186359,"nonmito",""
"VAMP7","P51809",83086.84,73480.7666666667,"nonmito",""
"VAPA","Q9P0L0",221272.8,221210.333333333,"nonmito",""
"VAPB","O95292",97624.08,84926.5,"nonmito",""
"VARS1","P26640",221930.4,216298,"nonmito",""
"VASN","Q6EMK4",80218.42,140685.333333333,"nonmito",""
"VASP","P50552",154951.8,144757.666666667,"nonmito",""
"VAT1","Q99536",405564.8,472865,"nonmito",""
"VAT1L","Q9HCJ6",98954.18,25231.6666666667,"nonmito",""
"VAV2","P52735-3",65406.3,70326.7666666667,"nonmito",""
"VBP1","P61758",126639.4,126851,"nonmito",""
"VCAN","P13611;P13611-5",78210.95,70329.6666666667,"nonmito",""
"VCL","P18206;P18206-2",480099.4,465350.666666667,"nonmito",""
"VCP","P55072",484137,460037.666666667,"nonmito",""
"VCPIP1","Q96JH7",36058.16,46414.3666666667,"nonmito",""
"VDAC1","P21796",567370.6,600386.333333333,"mito",""
"VDAC2","P45880",393685.4,465496.333333333,"mito",""
"VDAC3","Q9Y277",213911.4,247743,"mito",""
"VIM","P08670",2064014,2620806.66666667,"nonmito",""
"VIPAS39","Q9H9C1",41535.96,38527.3666666667,"nonmito",""
"VIRMA","Q69YN4;Q69YN4-3",23512.2,25694.9333333333,"nonmito",""
"VKORC1","Q9BQB6;Q9BQB6-2;Q9BQB6-3",1377430,1422060,"nonmito",""
"VKORC1L1","Q8N0U8",157586.4,144241.333333333,"nonmito",""
"VMA21","Q3ZAQ7",290366.4,301281,"nonmito",""
"VMP1","Q96GC9",56031.3,60244.3,"nonmito",""
"VPS11","Q9H270",62256,65611.3333333333,"nonmito",""
"VPS13A","Q96RL7;Q96RL7-2;Q96RL7-3;Q96RL7-4",143742,136919,"nonmito",""
"VPS13C","Q709C8;Q709C8-3",53704.34,38724.7,"nonmito",""
"VPS16","Q9H269",96665.62,99796.0333333333,"nonmito",""
"VPS18","Q9P253",71196.6,73212.2,"nonmito",""
"VPS25","Q9BRG1",116329.2,106658,"nonmito",""
"VPS26A","O75436",245537,279501.333333333,"nonmito",""
"VPS26B","Q4G0F5",81351.26,85153.7666666667,"nonmito",""
"VPS26C","O14972",86379.82,96460.6666666667,"nonmito",""
"VPS28","Q9UK41;Q9UK41-2",80237.72,65026.2666666667,"nonmito",""
"VPS29","Q9UBQ0",132820,156377.666666667,"nonmito",""
"VPS33A","Q96AX1",72522.66,73997.8333333333,"nonmito",""
"VPS33B","Q9H267",60048.42,62244.9666666667,"nonmito",""
"VPS35","Q96QK1",213898.2,239303.666666667,"nonmito",""
"VPS35L","Q7Z3J2",69905.34,77201.8,"nonmito",""
"VPS36","Q86VN1",76347.1,74117.7,"nonmito",""
"VPS37A","Q8NEZ2",33479.8,29777.2333333333,"nonmito",""
"VPS39","Q96JC1;Q96JC1-2",64337.3,62940.2333333333,"nonmito",""
"VPS41","P49754",48678.16,47891.5,"nonmito",""
"VPS45","Q9NRW7",75953.66,71189.4,"nonmito",""
"VPS4A","Q9UN37",78036.84,78953.6333333333,"nonmito",""
"VPS4B","O75351",162051.4,184137.666666667,"nonmito",""
"VPS50","Q96JG6",53465.68,53789.6666666667,"nonmito",""
"VPS51","Q9UID3",71231.24,68277.3666666667,"nonmito",""
"VPS52","Q8N1B4",67772.14,60463.9666666667,"nonmito",""
"VPS53","Q5VIR6-4",58167.78,61058.5,"nonmito",""
"VPS8","Q8N3P4;Q8N3P4-3",31487,36516.3333333333,"nonmito",""
"VRK1","Q99986",69159.12,74276.5333333333,"nonmito",""
"VRK2","Q86Y07",51009.76,60585.1333333333,"nonmito",""
"VTA1","Q9NP79",160720.4,126586.333333333,"nonmito",""
"VTI1A","Q96AJ9;Q96AJ9-1",66384.54,63038.2,"nonmito",""
"VTI1B","Q9UEU0",76456.16,73485.2,"nonmito",""
"VWA8","A3KMH1;A3KMH1-3",41283.7,60250.2333333333,"mito",""
"WAPL","Q7Z5K2;Q7Z5K2-2;Q7Z5K2-3",39499.88,39025.4666666667,"nonmito",""
"WARS1","P23381",199194.4,128045.333333333,"nonmito",""
"WARS2","Q9UGM6",26638.05,32665.0666666667,"mito",""
"WASF2","Q9Y6W5",113219.2,137197.333333333,"nonmito",""
"WASHC2A","Q641Q2",66919.32,65793.7,"nonmito",""
"WASHC2C","Q9Y4E1",49555.3,24539.5666666667,"nonmito",""
"WASHC3","Q9Y3C0",83294.04,64762.6,"nonmito",""
"WASHC4","Q2M389",67775.58,67088.2333333333,"nonmito",""
"WASHC5","Q12768",80964.54,78963.9333333333,"nonmito",""
"WASL","O00401",71620,84996.6666666667,"nonmito",""
"WBP11","Q9Y2W2",72715.12,80373.2333333333,"nonmito",""
"WBP2","Q969T9",87663.06,117180,"nonmito",""
"WDFY1","Q8IWB7",84814.62,68313.1,"nonmito",""
"WDFY2","Q96P53",16704.02,15378.7333333333,"nonmito",""
"WDFY3","Q8IZQ1;Q8IZQ1-2",28436.3,35794.3,"nonmito",""
"WDR1","O75083",568469,500693.666666667,"nonmito",""
"WDR11","Q9BZH6",62788.7,60342.5333333333,"nonmito",""
"WDR12","Q9GZL7",48929,51826.5666666667,"nonmito",""
"WDR13","Q9H1Z4",62830.32,72051.3333333333,"nonmito",""
"WDR18","Q9BV38",124441.8,128274.333333333,"nonmito",""
"WDR26","Q9H7D7;Q9H7D7-2",96735.88,90294.7,"nonmito",""
"WDR3","Q9UNX4",46130.04,46277.0666666667,"nonmito",""
"WDR33","Q9C0J8",9911.148,14000.7,"nonmito",""
"WDR36","Q8NI36",52052.62,51832.9333333333,"nonmito",""
"WDR37","Q9Y2I8;Q9Y2I8-2",50445.9,64098.7,"nonmito",""
"WDR41","Q9HAD4",50039.64,65604.3333333333,"nonmito",""
"WDR43","Q15061",98236.16,92220.7666666667,"nonmito",""
"WDR44","Q5JSH3",60598.62,55686.9333333333,"nonmito",""
"WDR46","O15213",119602.4,94441.9666666667,"nonmito",""
"WDR47","O94967;O94967-2;O94967-3;O94967-4",29974.82,39138.1,"nonmito",""
"WDR48","Q8TAF3",59693.34,63019.8,"nonmito",""
"WDR5","P61964",69064.7,69350.6,"nonmito",""
"WDR55","Q9H6Y2",52147.62,52989.1333333333,"nonmito",""
"WDR59","Q6PJI9",28395.075,24240.0666666667,"nonmito",""
"WDR6","Q9NNW5",82861.5,79157.7,"nonmito",""
"WDR61","Q9GZS3",92692.42,81217.7333333333,"nonmito",""
"WDR70","Q9NW82",37547.65,31463.0666666667,"nonmito",""
