"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"MTX2","O75431",133079.666666667,120072,"O75431","mito",""
"MTX3","Q5HYI7",151676,119309.333333333,"Q5HYI7","mito",""
"MUL1","Q969V5",111616.333333333,73863.1333333333,"Q969V5","mito",""
"MVB12A","Q96EY5",173861.333333333,167372.333333333,"Q96EY5","nonmito",""
"MVD","P53602",117340.666666667,154907,"P53602","nonmito",""
"MVK","Q03426",129815,137614.333333333,"Q03426","nonmito",""
"MXRA7","P84157",144954,93613.7666666667,"P84157","nonmito",""
"MYBBP1A","Q9BQG0;Q9BQG0-2",330071.666666667,310554,"Q9BQG0","nonmito",""
"MYBL2","P10244",89813.0333333333,107462,"P10244","nonmito",""
"MYCBP","Q99417",190630.666666667,198179.666666667,"Q99417","nonmito",""
"MYCBP2","O75592;O75592-2",57995.0333333333,50037.2666666667,"O75592","nonmito",""
"MYD88","Q99836;Q99836-5;Q99836-6",42747.2333333333,31573.8333333333,"Q99836","nonmito",""
"MYDGF","Q969H8",306682.666666667,243798.666666667,"Q969H8","nonmito",""
"MYEF2","Q9P2K5;Q9P2K5-2",192163,90608.9333333333,"Q9P2K5","nonmito",""
"MYG1","Q9HB07",346322.333333333,397378.333333333,"Q86UA3","mito",""
"MYH10","P35580;P35580-3",397258,305241.666666667,"P35580","nonmito",""
"MYH14","Q7Z406-6",189363.666666667,182763.666666667,"Q7Z406","nonmito",""
"MYH8","P13535",113526.15,144537.666666667,"P13535","nonmito",""
"MYH9","P35579",513309.333333333,446148.666666667,"P35579","nonmito",""
"MYL1","P05976;P05976-2",107868.933333333,86607,"P05976","nonmito",""
"MYL6","P60660;P60660-2",1606266.66666667,1612023.33333333,"P60660","nonmito",""
"MYL6B","P14649",736138.666666667,694227.666666667,"P14649","nonmito",""
"MYO18A","Q92614;Q92614-4",125396,89284.1666666667,"Q92614","nonmito",""
"MYO1B","O43795",162788.666666667,154473.333333333,"O43795","nonmito",""
"MYO1C","O00159;O00159-3",290816.333333333,232676.666666667,"O00159","nonmito",""
"MYO1D","O94832",137596.666666667,96986,"O94832","nonmito",""
"MYO1E","Q12965",105423.866666667,98183.6,"Q12965","nonmito",""
"MYO5A","Q9Y4I1;Q9Y4I1-2;Q9Y4I1-3",120643,94144.0333333333,"Q9Y4I1","nonmito",""
"MYO6","Q9UM54-6",207572,158904.666666667,"Q9UM54","nonmito",""
"MYO9A","B2RTY4;B2RTY4-2;B2RTY4-4",28774.6,23458.1333333333,"B2RTY4","nonmito",""
"MYO9B","Q13459;Q13459-2",78285.4666666667,73100.9,"Q13459","nonmito",""
"MZT2B","Q6NZ67",134877,169562.333333333,"Q6NZ67","nonmito",""
"N4BP1","O75113",43791.3,45139.9333333333,"O75113","nonmito",""
"N6AMT1","Q9Y5N5",177742,136325.666666667,"Q9Y5N5","nonmito",""
"NAA10","P41227",247478.333333333,310861,"P41227","nonmito",""
"NAA15","Q9BXJ9",309820.666666667,369650,"Q9BXJ9","nonmito",""
"NAA16","Q6N069",85380.4,82221.5,"Q6N069","nonmito",""
"NAA20","P61599",194825.333333333,221963.666666667,"P61599","nonmito",""
"NAA25","Q14CX7",214379.333333333,253138.333333333,"Q14CX7","nonmito",""
"NAA30","Q147X3",152818.666666667,146672,"Q147X3","nonmito",""
"NAA35","Q5VZE5",141638.666666667,147488.666666667,"Q5VZE5","nonmito",""
"NAA40","Q86UY6;Q86UY6-3",167691.333333333,230484.333333333,"Q86UY6","nonmito",""
