"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"DNAJC12","Q9UKB3",110638.133333333,102243.6,"Q9UKB3","nonmito",""
"DNAJC13","O75165",110282.333333333,112295.666666667,"O75165","nonmito",""
"DNAJC16","Q9Y2G8",60745.4,75441.0666666667,"Q9Y2G8","nonmito",""
"DNAJC17","Q9NVM6",123903,96792.7333333333,"Q9NVM6","nonmito",""
"DNAJC19","Q96DA6",238805,170607.666666667,"Q96DA6","mito",""
"DNAJC2","Q99543",180304.333333333,148837,"Q99543","nonmito",""
"DNAJC21","Q5F1R6;Q5F1R6-2;Q5F1R6-3",76883.6666666667,87763.5333333333,"Q5F1R6","nonmito",""
"DNAJC3","Q13217",146508,138278.333333333,"Q13217","nonmito",""
"DNAJC7","Q99615",256665.666666667,275177.333333333,"Q99615","nonmito",""
"DNAJC8","O75937",474970,438373,"O75937","nonmito",""
"DNAJC9","Q8WXX5",401157.333333333,370853.333333333,"Q8WXX5","nonmito",""
"DNASE2","O00115;O00115-2",195102,181415.666666667,"O00115","nonmito",""
"DNM1","Q05193;Q05193-2",101847.833333333,66119.5666666667,"Q05193","nonmito",""
"DNM1L","O00429",218853.666666667,212094.666666667,"O00429","mito",""
"DNM2","P50570-2",361982,324173.666666667,"P50570","nonmito",""
"DNM3","Q9UQ16;Q9UQ16-2;Q9UQ16-3;Q9UQ16-4",80224.0333333333,42554.6666666667,"Q9UQ16","nonmito",""
"DNMBP","Q6XZF7",81439.4333333333,82364.9666666667,"Q6XZF7","nonmito",""
"DNMT1","P26358",158542.666666667,252987,"P26358","nonmito",""
"DNMT3A","Q9Y6K1",83078.4333333333,64993.8666666667,"Q9Y6K1","nonmito",""
"DNPEP","Q9ULA0",167136.666666667,100434.5,"B7Z7F0","nonmito",""
"DNPH1","O43598",481798.333333333,485938.333333333,"O43598","nonmito",""
"DNTTIP1","Q9H147",82143.2333333333,100695.033333333,"Q9H147","nonmito",""
"DNTTIP2","Q5QJE6",200788.333333333,251504,"Q5QJE6","nonmito",""
"DOCK1","Q14185",70655.1,61778.9666666667,"Q14185","nonmito",""
"DOCK11","Q5JSL3",119847.666666667,89090.2,"Q5JSL3","nonmito",""
"DOCK4","Q8N1I0;Q8N1I0-2;Q8N1I0-3",61468.6666666667,53731.1666666667,"Q8N1I0","nonmito",""
"DOCK6","Q96HP0",66589.9333333333,48272.8333333333,"Q96HP0","nonmito",""
"DOCK7","Q96N67;Q96N67-5",166631,139943.666666667,"Q96N67","nonmito",""
"DOHH","Q9BU89",115307.333333333,164210.666666667,"Q9BU89","nonmito",""
"DOLK","Q9UPQ8",80467.7666666667,70047.8333333333,"Q9UPQ8","nonmito",""
"DOLPP1","Q86YN1",197064.333333333,184062.333333333,"Q86YN1","nonmito",""
"DONSON","Q9NYP3",47998.3,47119.4333333333,"Q9NYP3","nonmito",""
"DPCD","Q9BVM2",219436,214342.666666667,"Q9BVM2","nonmito",""
"DPF2","Q92785",192314.333333333,228585,"Q92785","nonmito",""
"DPH1","Q9BZG8",99833.3333333333,165486.333333333,"Q9BZG8","nonmito",""
"DPH2","Q9BQC3",108892.666666667,157491.333333333,"Q9BQC3","nonmito",""
"DPH5","Q9H2P9;Q9H2P9-5",94270.6,121627.333333333,"Q9H2P9","nonmito",""
"DPM1","O60762",482968,409313.666666667,"O60762","nonmito",""
"DPM3","Q9P2X0;Q9P2X0-2",89206.2,50490.3666666667,"Q9P2X0","nonmito",""
"DPP3","Q9NY33",238454.666666667,197424,"Q9NY33","nonmito",""
"DPP9","Q86TI2",215943.666666667,177397,"Q86TI2","nonmito",""
"DPY19L1","Q2PZI1",68014,63105.5666666667,"Q2PZI1","nonmito",""
"DPYSL2","Q16555",382665.666666667,328528.666666667,"Q16555","nonmito",""
"DPYSL4","O14531",166822,138267,"O14531","nonmito",""
"DPYSL5","Q9BPU6",228776.333333333,183468.666666667,"Q9BPU6","nonmito",""
"DR1","Q01658",330610.333333333,239057,"Q01658","nonmito",""
"DRAP1","Q14919;Q14919-2",146800.666666667,102826.333333333,"Q14919","nonmito",""
"DRG1","Q9Y295",382117.333333333,349765.666666667,"Q9Y295","nonmito",""
"DRG2","P55039",257452.666666667,249875,"P55039","nonmito",""
"DSC1","Q08554;Q08554-2",53595.1,62513.8333333333,"Q08554","nonmito",""
"DSG1","Q02413",43363.4333333333,56673.15,"Q02413","nonmito",""
"DSG2","Q14126",165765,182390.666666667,"Q14126","nonmito",""
"DSN1","Q9H410;Q9H410-4",103188.666666667,97365.6666666667,"Q9H410","nonmito",""
"DSP","P15924",68098.3,149063.666666667,"P15924","nonmito",""
"DST","Q03001",77103,98740.4666666667,"Q03001","nonmito",""
"DSTN","P60981",237300.333333333,241042,"P60981","nonmito",""
"DTD1","Q8TEA8",392106.333333333,311579.666666667,"Q8TEA8","nonmito",""
"DTL","Q9NZJ0",57397.0333333333,91243.4,"Q9NZJ0","nonmito",""
"DTNA","Q9Y4J8;Q9Y4J8-13;Q9Y4J8-14;Q9Y4J8-15;Q9Y4J8-2",167823,107609.333333333,"Q9Y4J8","nonmito",""
"DTNBP1","Q96EV8",75364.8,119267.666666667,"Q96EV8","nonmito",""
"DTYMK","P23919",364932.666666667,295761.333333333,"P23919","mito",""
"DUS1L","Q6P1R4",85413.9666666667,96799.2666666667,"Q6P1R4","nonmito",""
"DUS3L","Q96G46",103027,174355,"Q96G46","nonmito",""
"DUSP12","Q9UNI6",133411.333333333,125663.333333333,"Q9UNI6","nonmito",""
"DUSP3","P51452",471682.666666667,370885,"P51452","nonmito",""
"DUSP9","Q99956",111745.666666667,131293.666666667,"Q99956","nonmito",""
"DUT","P33316",936013,1205473.33333333,"P33316","mito",""
"DVL2","O14641",149426.333333333,162434.666666667,"O14641","nonmito",""
"DYNC1H1","Q14204",463987.666666667,394625.666666667,"Q14204","nonmito",""
"DYNC1I2","Q13409;Q13409-2;Q13409-3;Q13409-5;Q13409-6;Q13409-7",307007,254530,"Q13409","nonmito",""
"DYNC1LI1","Q9Y6G9",409985.333333333,349462.666666667,"Q9Y6G9","nonmito",""
