"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"DYRK1A","Q13627;Q13627-2;Q13627-3;Q13627-4;Q13627-5",147089.666666667,135440.666666667,"Q13627","nonmito",""
"DZIP3","Q86Y13",413897.666666667,239313.333333333,"Q86Y13","nonmito",""
"EARS2","Q5JPH6",208213,214230.666666667,"Q5JPH6","mito",""
"EBF3","Q9H4W6-2",239377.666666667,143802,"Q9H4W6","nonmito",""
"EBNA1BP2","Q99848",527420,454946.333333333,"Q99848","nonmito",""
"EBP","Q15125",1087328,1025103.33333333,"Q15125","nonmito",""
"ECD","O95905;O95905-3",163620.666666667,182784.666666667,"O95905","nonmito",""
"ECE1","P42892;P42892-2;P42892-3;P42892-4",104699.966666667,96306.4666666667,"P42892","nonmito",""
"ECH1","Q13011",292622.666666667,265551,"Q13011","mito",""
"ECHDC1","Q9NTX5;Q9NTX5-2",294974.333333333,302743.666666667,"Q9NTX5","mito",""
"ECHS1","P30084",808597,564765,"P30084","mito",""
"ECI1","P42126",328929,367542,"P42126","mito",""
"ECI2","O75521;O75521-2",149786.333333333,157282,"O75521","mito",""
"ECPAS","Q5VYK3",159767,169910.333333333,"Q5VYK3","nonmito",""
"ECSIT","Q9BQ95",128630.333333333,135636,"Q9BQ95","mito",""
"ECT2","Q9H8V3;Q9H8V3-2;Q9H8V3-3;Q9H8V3-4",75262.4333333333,69634.9666666667,"Q9H8V3","nonmito",""
"EDARADD","Q8WWZ3;Q8WWZ3-2",93962.9333333333,96329.2333333333,"Q8WWZ3","nonmito",""
"EDC3","Q96F86",257586.666666667,270689,"Q96F86","nonmito",""
"EDC4","Q6P2E9",258184.333333333,335587.666666667,"Q6P2E9","nonmito",""
"EDEM3","Q9BZQ6;Q9BZQ6-2",105384.133333333,105450.333333333,"Q9BZQ6","nonmito",""
"EDF1","O60869",535432.333333333,453032.333333333,"O60869","nonmito",""
"EDRF1","Q3B7T1",96789.0666666667,86941.8666666667,"Q3B7T1","nonmito",""
"EEA1","Q15075",86216.3,97472.7333333333,"Q15075","nonmito",""
"EED","O75530;O75530-3",123366.666666667,125414,"O75530","nonmito",""
"EEF1A1","P68104",1421576.66666667,1841526.66666667,"P68104","nonmito",""
"EEF1A2","Q05639",534125,299668.333333333,"Q05639","nonmito",""
"EEF1AKNMT","Q8N6R0",182548.333333333,182403.333333333,"Q8N6R0","nonmito",""
"EEF1B2","P24534",1576560,1642680,"P24534","nonmito",""
"EEF1D","P29692",459939.333333333,750391.333333333,"P29692","nonmito",""
"EEF1E1","O43324",480565,436768,"O43324","nonmito",""
"EEF1G","P26641",1743096.66666667,1620580,"P26641","nonmito",""
"EEF2","P13639",1445586.66666667,1623880,"P13639","nonmito",""
"EEF2K","O00418",105096.6,89770.4,"O00418","nonmito",""
"EEFSEC","P57772",83065.9,91928.4333333333,"P57772","nonmito",""
"EFHD1","Q9BUP0",116845,90428.2,"Q9BUP0","mito",""
"EFHD2","Q96C19",280419.333333333,213975.666666667,"Q96C19","nonmito",""
"EFL1","Q7Z2Z2",178453.333333333,156737,"Q7Z2Z2","nonmito",""
"EFNB1","P98172",108305.666666667,93148.4666666667,"P98172","nonmito",""
"EFR3A","Q14156;Q14156-2",42750.4333333333,44111.5,"Q14156","nonmito",""
"EFTUD2","Q15029;Q15029-2",482679.666666667,538788.666666667,"Q15029","nonmito",""
"EGFR","P00533",59159.8666666667,63636.3333333333,"P00533","nonmito",""
"EGLN1","Q9GZT9",128846.666666667,124932.333333333,"Q9GZT9","nonmito",""
"EHBP1","Q8NDI1;Q8NDI1-2;Q8NDI1-3",47993.9,59533.2333333333,"Q8NDI1","nonmito",""
"EHD1","Q9H4M9",177252,239201.666666667,"Q9H4M9","nonmito",""
