"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"PDCL","Q13371",74050.98,81355.3666666667,"nonmito",""
"PDCL3","Q9H2J4",51027.1,51628.4333333333,"nonmito",""
"PDE12","Q6L8Q7;Q6L8Q7-2",102037.74,99788.4333333333,"mito",""
"PDE4DIP","Q5VU43-13",50421.02,47955.7333333333,"nonmito",""
"PDE6D","O43924",109297.5,118745.333333333,"nonmito",""
"PDGFRA","P16234",62522.66,54070.8666666667,"nonmito",""
"PDGFRB","P09619",130369.02,141483.333333333,"nonmito",""
"PDHA1","P08559;P08559-3;P08559-4",146553.6,165114.666666667,"mito",""
"PDHB","P11177;P11177-2",165123.6,159069.666666667,"mito",""
"PDHX","O00330;O00330-3",44321.48,54466.1333333333,"mito",""
"PDIA3","P30101",570542.4,569941.333333333,"nonmito",""
"PDIA4","P13667",253531.4,259169.666666667,"nonmito",""
"PDIA5","Q14554",107208.06,111368.666666667,"nonmito",""
"PDIA6","Q15084;Q15084-2;Q15084-3;Q15084-4;Q15084-5",589549.2,482118.333333333,"nonmito",""
"PDLIM1","O00151",240817,195419.333333333,"nonmito",""
"PDLIM2","Q96JY6;Q96JY6-5",204894.2,174774,"nonmito",""
"PDLIM4","P50479",240168.4,171981,"nonmito",""
"PDLIM5","Q96HC4",123870,118576.666666667,"nonmito",""
"PDLIM7","Q9NR12",231954.4,209891.666666667,"nonmito",""
"PDP1","Q9P0J1;Q9P0J1-2",40183.32,40136.4,"mito",""
"PDPK1","O15530;O15530-3",40006.32,28324.6666666667,"nonmito",""
"PDPR","Q8NCN5",83032.26,82015.8333333333,"mito",""
"PDS5A","Q29RF7",41157.66,55717.0666666667,"nonmito",""
"PDS5B","Q9NTI5;Q9NTI5-2",34794.14,53057.9,"nonmito",""
"PDXDC1","Q6P996;Q6P996-4;Q6P996-5",115492,147709.666666667,"nonmito",""
"PDXK","O00764",224330.4,207833,"nonmito",""
"PEA15","Q15121;Q15121-2",343821.4,303460.333333333,"nonmito",""
"PEAK1","Q9H792",42244.26,32064.1666666667,"nonmito",""
"PEBP1","P30086",868578.2,662538.333333333,"nonmito",""
"PEF1","Q9UBV8",217516.4,261449,"nonmito",""
"PELO","Q9BRX2",94341.94,89136.3666666667,"nonmito",""
