"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"FRA10AC1","Q70Z53;Q70Z53-2;Q70Z53-3;Q70Z53-4;Q70Z53-5",104744,109183.333333333,"Q70Z53","nonmito",""
"FRG1","Q14331",233432.333333333,234823,"Q14331","nonmito",""
"FRYL","O94915",70183.8666666667,64619.4,"O94915","nonmito",""
"FSCN1","Q16658",318149.333333333,214169.666666667,"Q16658","nonmito",""
"FSD1","Q9BTV5",122728.333333333,116516,"Q9BTV5","nonmito",""
"FSTL1","Q12841",50452.1666666667,43252.0666666667,"Q12841","nonmito",""
"FTH1","P02794",139124,179346,"P02794","mito",""
"FTL","P02792",132943.2,113495.366666667,"P02792","nonmito",""
"FTO","Q9C0B1",243908.333333333,266090.666666667,"Q9C0B1","nonmito",""
"FTSJ1","Q9UET6;Q9UET6-2",106204,132946.666666667,"Q9UET6","nonmito",""
"FTSJ3","Q8IY81",245753,239309,"Q8IY81","nonmito",""
"FUBP1","Q96AE4",649461.666666667,807093,"Q96AE4","nonmito",""
"FUBP3","Q96I24",390595.333333333,370303.666666667,"Q96I24","nonmito",""
"FUCA1","P04066",241315,224755.666666667,"P04066","nonmito",""
"FUCA2","Q9BTY2",140562.666666667,137591.666666667,"Q9BTY2","nonmito",""
"FUNDC2","Q9BWH2",159077.666666667,167529,"Q9BWH2","mito",""
"FUS","P35637;P35637-2",984125.666666667,1126386.66666667,"P35637","nonmito",""
"FXN","Q16595",253293,221228.333333333,"Q16595","mito",""
"FXR1","P51114",296149.666666667,260296,"P51114","nonmito",""
"FXR2","P51116",137330.333333333,130581.333333333,"P51116","nonmito",""
"FYCO1","Q9BQS8;Q9BQS8-4",91679.9333333333,68116.0666666667,"Q9BQS8","nonmito",""
"FYN","P06241",79517.9333333333,105153.666666667,"P06241","nonmito",""
"FYTTD1","Q96QD9",76875.1666666667,62477.0333333333,"Q96QD9","nonmito",""
"G3BP1","Q13283",645175,785059.666666667,"Q13283","nonmito",""
"G3BP2","Q9UN86",329349,392766,"Q9UN86","nonmito",""
"G6PC3","Q9BUM1",277281,239099,"Q9BUM1","nonmito",""
"G6PD","P11413;P11413-2",277757,439336.333333333,"P11413","nonmito",""
"GAA","P10253",226892,212461.666666667,"P10253","nonmito",""
"GAB1","Q13480-2",84174.5333333333,79048.5,"Q13480","nonmito",""
"GABARAPL1","Q9H0R8;Q9H0R8-2",281198.333333333,277533.666666667,"Q9H0R8","nonmito",""
"GABARAPL2","P60520",414486.666666667,454896.333333333,"P60520","nonmito",""
"GABPA","Q06546",166246.666666667,224235.333333333,"Q06546","nonmito",""
"GADD45GIP1","Q8TAE8",336006.333333333,323334,"Q8TAE8","mito","Ribo"
"GAK","O14976",144307.333333333,140050,"O14976","nonmito",""
"GALE","Q14376",81438.2333333333,93368.2,"Q14376","nonmito",""
"GALK1","P51570;P51570-2",333563.666666667,273549.333333333,"P51570","nonmito",""
"GALM","Q96C23",269141,268334.333333333,"Q96C23","nonmito",""
"GALNS","P34059",100711.933333333,112000.666666667,"P34059","nonmito",""
"GALNT1","Q10472",102234.366666667,106945.666666667,"Q10472","nonmito",""
"GALNT2","Q10471",187536.333333333,198097.666666667,"Q10471","nonmito",""
"GALNT7","Q86SF2",72620.9666666667,64995.8333333333,"Q86SF2","nonmito",""
"GAMT","Q14353",234837.666666667,219152.666666667,"Q14353","nonmito",""
"GAN","Q9H2C0",174977.666666667,158758,"Q9H2C0","nonmito",""
"GANAB","Q14697-2",242294.666666667,252698.333333333,"Q14697","nonmito",""
