"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"TFDP1","Q14186",45220.4333333333,64361.4333333333,"Q14186","nonmito",""
"TFG","Q92734;Q92734-2;Q92734-3;Q92734-4",484221,507135,"Q92734","nonmito",""
"TFIP11","Q9UBB9",218993.666666667,248574.333333333,"Q9UBB9","nonmito",""
"TFRC","P02786",256771.333333333,331796.333333333,"P02786","nonmito",""
"TGFBR1","P36897;P36897-2",45669.5666666667,52297.7333333333,"P36897","nonmito",""
"TGFBRAP1","Q8WUH2",126530.666666667,112084.333333333,"Q8WUH2","nonmito",""
"TGM3","Q08188",39304.8333333333,24093.45,"Q08188","nonmito",""
"TGS1","Q96RS0",88104.7,108695,"Q96RS0","nonmito",""
"THADA","Q6YHU6",63877.3666666667,75071.7,"Q6YHU6","nonmito",""
"THAP11","Q96EK4",503432.666666667,549529.666666667,"Q96EK4","nonmito",""
"THEM6","Q8WUY1",155871.666666667,147786,"Q8WUY1","nonmito",""
"THG1L","Q9NWX6",97711.1,98711.9333333333,"Q9NWX6","mito",""
"THNSL1","Q8IYQ7",78305.8,70651.9333333333,"Q8IYQ7","mito",""
"THOC1","Q96FV9",145193,133372.333333333,"Q96FV9","nonmito",""
"THOC2","Q8NI27",178828.666666667,183554,"Q8NI27","nonmito",""
"THOC3","Q96J01",334259,347357,"Q96J01","nonmito",""
"THOC5","Q13769",152951.333333333,143828.333333333,"Q13769","nonmito",""
"THOC6","Q86W42",259646.333333333,235730.666666667,"Q86W42","nonmito",""
"THOC7","Q6I9Y2",125173,108311.333333333,"Q6I9Y2","nonmito",""
"THOP1","P52888",175707,181547.666666667,"P52888","nonmito",""
"THRAP3","Q9Y2W1",336631,319271.333333333,"Q9Y2W1","nonmito",""
"THTPA","Q9BU02",91859.9666666667,108729.333333333,"Q9BU02","nonmito",""
"THUMPD1","Q9NXG2",154868.333333333,159292,"Q9NXG2","nonmito",""
"THUMPD3","Q9BV44",169217.333333333,198539.666666667,"Q9BV44","nonmito",""
"THYN1","Q9P016",200015.666666667,195167,"Q9P016","nonmito",""
"TIA1","P31483",389561.666666667,424962.333333333,"P31483","nonmito",""
