"genename","uniprot","mean_patient","mean_ctrl","mito","complex"
"ABHD16A","O95870",72398.0333333333,59554.38,"nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",38525.3333333333,34726.2,"nonmito",""
"ABHD4","Q8TB40",31220.3333333333,21924.2,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",80258.3333333333,77749.82,"nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",59501.1,74784.9,"nonmito",""
"ABL1","P00519;P00519-2",46875.5333333333,30616.1,"nonmito",""
"ABLIM3","O94929-2;O94929-3",62272.3,58248.16,"nonmito",""
"ABR","Q12979;Q12979-2;Q12979-4",81755,86052.92,"nonmito",""
"ABRACL","Q9P1F3",159190.666666667,155860.86,"nonmito",""
"ABRAXAS2","Q15018",89950.1333333333,51696.08,"nonmito",""
"ABT1","Q9ULW3",360153.933333333,98987.46,"nonmito",""
"ACAA1","P09110",135895.666666667,72276.92,"mito",""
"ACAA2","P42765",144656,113433.9,"mito",""
"ACACA","Q13085;Q13085-4",56044.1,78875.72,"mito",""
"ACAD11","Q709F0",86160.8333333333,58750.2,"mito",""
"ACAD9","Q9H845",86019.1,76072.6,"mito",""
"ACADM","P11310;P11310-2",166407,127015.18,"mito",""
"ACADS","P16219",120060.333333333,91996.5,"mito",""
"ACADSB","P45954",27799.2333333333,36606.4,"mito",""
"ACADVL","P49748;P49748-3",191110,243633.8,"mito",""
"ACAP2","Q15057",69499.6,61446.84,"nonmito",""
"ACAT1","P24752",241429.666666667,228179.2,"mito",""
"ACAT2","Q9BWD1;Q9BWD1-2",137932.666666667,195630.2,"nonmito",""
"ACBD3","Q9H3P7",154793.333333333,138182.4,"nonmito",""
"ACBD5","Q5T8D3-2;Q5T8D3-3",68308.5333333333,40817.88,"nonmito",""
"ACBD6","Q9BR61",34216.3,31575.38,"nonmito",""
"ACIN1","Q9UKV3",59689.2333333333,65330.86,"nonmito",""
"ACLY","P53396",298123,358907.6,"mito",""
"ACO1","P21399",73681.4666666667,156953.8,"nonmito",""
"ACO2","Q99798",126153.333333333,129571.4,"mito",""
"ACOT1","Q86TX2",226657.333333333,134197,"nonmito",""
"ACOT13","Q9NPJ3;Q9NPJ3-2",124763.666666667,98753.1,"mito",""
"ACOT7","O00154;O00154-4;O00154-6;O00154-7",224642.666666667,239025.4,"mito",""
"ACOT8","O14734",130646.566666667,133075.5,"nonmito",""
"ACOT9","Q9Y305;Q9Y305-2;Q9Y305-4",166787,151426.2,"mito",""
"ACOX1","Q15067;Q15067-2",72279.8666666667,77450.06,"nonmito",""
"ACOX2","Q99424",83057.2666666667,48346.92,"nonmito",""
"ACOX3","O15254",64480.9333333333,46630.88,"nonmito",""
"ACP1","P24666",274552,169454.2,"nonmito",""
"ACP2","P11117",175974.666666667,140170.6,"nonmito",""
"ACSF2","Q96CM8;Q96CM8-2;Q96CM8-3",46796.8,25777.92,"mito",""
"ACSF3","Q4G176",41079.8,35140.34,"mito",""
"ACSL1","P33121",70451.4,73890.36,"mito",""
"ACSL3","O95573",140104,164806,"nonmito",""
"ACSL4","O60488;O60488-2",94136.2333333333,99720.96,"nonmito",""
"ACSS2","Q9NR19;Q9NR19-2",67772.2666666667,68213.26,"nonmito",""
"ACTA2","P62736",2344160,1105210.6,"nonmito",""
"ACTB","P60709",1585376.66666667,1334394,"nonmito",""
"ACTBL2","Q562R1",440518.333333333,314895.2,"nonmito",""
"ACTG1","P63261",1139741,665434.8,"nonmito",""
"ACTL6A","O96019",98420.6666666667,99751.32,"nonmito",""
"ACTN1","P12814-2",136742.666666667,136619.66,"nonmito",""
"ACTN1","P12814",955019,736682.4,"nonmito",""
"ACTN4","O43707",548928.666666667,501579.2,"nonmito",""
"ACTR10","Q9NZ32",63614.9,62928.38,"nonmito",""
"ACTR1A","P61163",315424.333333333,261279.6,"nonmito",""
"ACTR1B","P42025",178499.666666667,196870.2,"nonmito",""
"ACTR2","P61160",486010,405645.8,"nonmito",""
"ACTR3","P61158",590256.666666667,584850.6,"nonmito",""
"ACVR1","Q04771",58054.9333333333,78670.5,"nonmito",""
"ACY1","Q03154",96749.3333333333,83126.1,"nonmito",""
"ACYP1","P07311",49176.0666666667,62342.74,"nonmito",""
"ACYP2","P14621",78704.0666666667,55670.54,"nonmito",""
"ADA","P00813",162972,53056.74,"nonmito",""
"ADAM10","O14672",62240.3,85927.76,"nonmito",""
"ADAM17","P78536",52873.6,49658.82,"nonmito",""
