"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"AKR1B1","P15121",250549.2,183439.666666667,"nonmito",""
"AKR1C1","Q04828",203201.4,88518.3,"nonmito",""
"AKR7A2","O43488",266783.6,255617.333333333,"mito",""
"AKT1","P31749",79051,87868.4,"nonmito",""
"AKT1S1","Q96B36",172639.8,135762,"nonmito",""
"AKT2","P31751",68204.16,67898.2,"nonmito",""
"AKT3","Q9Y243;Q9Y243-2",39328.76,40656.7,"nonmito",""
"AKTIP","Q9H8T0;Q9H8T0-2",51273.82,58139.2333333333,"nonmito",""
"ALAD","P13716;P13716-2",114524.5,86756.0333333333,"nonmito",""
"ALCAM","Q13740;Q13740-2",166442.8,104475,"nonmito",""
"ALDH16A1","Q8IZ83",64892.3,79771.1333333333,"nonmito",""
"ALDH18A1","P54886;P54886-2",152320.2,208008.666666667,"mito",""
"ALDH1A3","P47895",117332.34,56537.0333333333,"nonmito",""
"ALDH1B1","P30837",109423.72,65165.5666666667,"mito",""
"ALDH1L2","Q3SY69",147050.64,76277.0666666667,"mito",""
"ALDH2","P05091",101996,88357.0666666667,"mito",""
"ALDH3A2","P51648;P51648-2",62683.76,37678,"mito",""
"ALDH3B1","P43353",66414.34,57752.7333333333,"nonmito",""
"ALDH4A1","P30038",81345.02,98201.7666666667,"mito",""
"ALDH6A1","Q02252;Q02252-2",98983.54,66571.6333333333,"mito",""
"ALDH7A1","P49419-2",160942.8,152815.666666667,"mito",""
"ALDH9A1","P49189",184885,141611,"mito",""
"ALDOA","P04075",628711,1089046.66666667,"nonmito",""
"ALDOC","P09972",118334.4,325490.333333333,"nonmito",""
"ALG1","Q9BT22",76569.78,82462.2666666667,"nonmito",""
"ALG11","Q2TAA5",65855.94,87630.9333333333,"nonmito",""
"ALG12","Q9BV10",43787.66,50162.3333333333,"nonmito",""
"ALG13","Q9NP73-2",35179.66,42337,"nonmito",""
"ALG2","Q9H553",96244.32,117775,"nonmito",""
"ALG3","Q92685;Q92685-2",75787.92,104701.666666667,"nonmito",""
"ALG5","Q9Y673",96288.96,125776.333333333,"nonmito",""
