"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"FPGT","O14772",82185.6,75898.6333333333,"O14772","nonmito",""
"FRA10AC1","Q70Z53;Q70Z53-2;Q70Z53-3;Q70Z53-4;Q70Z53-5",117799.333333333,109183.333333333,"Q70Z53","nonmito",""
"FRG1","Q14331",272384.666666667,234823,"Q14331","nonmito",""
"FRMD8","Q9BZ67;Q9BZ67-2",380950.333333333,364385.333333333,"Q9BZ67","nonmito",""
"FRYL","O94915",79279.8666666667,64619.4,"O94915","nonmito",""
"FSCN1","Q16658",375273,214169.666666667,"Q16658","nonmito",""
"FSD1","Q9BTV5",139894.666666667,116516,"Q9BTV5","nonmito",""
"FSTL1","Q12841",69651.3666666667,43252.0666666667,"Q12841","nonmito",""
"FTH1","P02794",163173,179346,"P02794","mito",""
"FTL","P02792",136560.1,113495.366666667,"P02792","nonmito",""
"FTO","Q9C0B1",249998,266090.666666667,"Q9C0B1","nonmito",""
"FTSJ1","Q9UET6;Q9UET6-2",106107.666666667,132946.666666667,"Q9UET6","nonmito",""
"FTSJ3","Q8IY81",240377.666666667,239309,"Q8IY81","nonmito",""
"FUBP1","Q96AE4",717808.333333333,807093,"Q96AE4","nonmito",""
"FUBP3","Q96I24",350751.333333333,370303.666666667,"Q96I24","nonmito",""
"FUCA1","P04066",264880.333333333,224755.666666667,"P04066","nonmito",""
"FUCA2","Q9BTY2",129332,137591.666666667,"Q9BTY2","nonmito",""
"FUNDC2","Q9BWH2",151801.666666667,167529,"Q9BWH2","mito",""
"FUS","P35637;P35637-2",861731.333333333,1126386.66666667,"P35637","nonmito",""
"FXN","Q16595",236931.666666667,221228.333333333,"Q16595","mito",""
"FXR1","P51114",255212,260296,"P51114","nonmito",""
"FXR2","P51116",127972.666666667,130581.333333333,"P51116","nonmito",""
"FYCO1","Q9BQS8;Q9BQS8-4",87928.5333333333,68116.0666666667,"Q9BQS8","nonmito",""
"FYN","P06241",95911.5333333333,105153.666666667,"P06241","nonmito",""
"FYTTD1","Q96QD9",77689.1333333333,62477.0333333333,"Q96QD9","nonmito",""
"G3BP1","Q13283",665412.333333333,785059.666666667,"Q13283","nonmito",""
"G3BP2","Q9UN86",325078.333333333,392766,"Q9UN86","nonmito",""
"G6PC3","Q9BUM1",379785,239099,"Q9BUM1","nonmito",""
"G6PD","P11413;P11413-2",367408.666666667,439336.333333333,"P11413","nonmito",""
"GAA","P10253",271207,212461.666666667,"P10253","nonmito",""
"GAB1","Q13480-2",99023.9666666667,79048.5,"Q13480","nonmito",""
"GABARAPL1","Q9H0R8;Q9H0R8-2",339822,277533.666666667,"Q9H0R8","nonmito",""
"GABARAPL2","P60520",466585.666666667,454896.333333333,"P60520","nonmito",""
"GABPA","Q06546",205147,224235.333333333,"Q06546","nonmito",""
"GADD45GIP1","Q8TAE8",329138.666666667,323334,"Q8TAE8","mito","Ribo"
"GAK","O14976",127780.333333333,140050,"O14976","nonmito",""
"GALE","Q14376",126030,93368.2,"Q14376","nonmito",""
"GALK1","P51570;P51570-2",393409.666666667,273549.333333333,"P51570","nonmito",""
"GALM","Q96C23",296455.333333333,268334.333333333,"Q96C23","nonmito",""
"GALNS","P34059",135987.666666667,112000.666666667,"P34059","nonmito",""
"GALNT1","Q10472",99737.8666666667,106945.666666667,"Q10472","nonmito",""
"GALNT2","Q10471",224527.666666667,198097.666666667,"Q10471","nonmito",""
"GALNT7","Q86SF2",88683.6666666667,64995.8333333333,"Q86SF2","nonmito",""
"GAMT","Q14353",216980,219152.666666667,"Q14353","nonmito",""
"GAN","Q9H2C0",182800.333333333,158758,"Q9H2C0","nonmito",""
"GANAB","Q14697-2",253086.333333333,252698.333333333,"Q14697","nonmito",""
"GANAB","Q14697",964580.333333333,826566,"Q14697","nonmito",""
"GAPDH","P04406",1446243.33333333,1453653.33333333,"P04406","nonmito",""
"GAPVD1","Q14C86;Q14C86-2;Q14C86-3;Q14C86-5;Q14C86-6",246277.333333333,252986,"Q14C86","nonmito",""
"GAR1","Q9NY12;Q9NY12-2",437022.666666667,393191.666666667,"Q9NY12","nonmito",""
"GARS1","P41250",509754.333333333,349445.666666667,"P41250","mito",""
"GART","P22102",542797.333333333,501983,"P22102","nonmito",""
"GATAD2A","Q86YP4;Q86YP4-3",131245,152051.333333333,"Q86YP4","nonmito",""
"GATAD2B","Q8WXI9",224606.333333333,219339,"Q8WXI9","nonmito",""
"GATB","O75879",163299.333333333,140164.666666667,"O75879","mito",""
"GATC","O43716",212562.333333333,203587.666666667,"O43716","mito",""
