"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"GJA1","P17302",16026.9666666667,35947.4,"P17302","nonmito",""
"GK","P32189;P32189-1;P32189-2;P32189-4",142655,127510.333333333,"P32189","nonmito",""
"GLA","P06280",480384.666666667,523531.333333333,"P06280","nonmito",""
"GLB1","P16278;P16278-3",232030.333333333,246270,"P16278","nonmito",""
"GLB1L2","Q8IW92",105293,78064.6333333333,"Q8IW92","nonmito",""
"GLCCI1","Q86VQ1",101788.4,102186.366666667,"Q86VQ1","nonmito",""
"GLCE","O94923",70519.3,91306.4,"O94923","nonmito",""
"GLE1","Q53GS7",144527,129544,"Q53GS7","nonmito",""
"GLG1","Q92896;Q92896-2",132652,113809,"Q92896","nonmito",""
"GLI3","P10071",35801.3966666667,43282.2333333333,"P10071","nonmito",""
"GLIPR2","Q9H4G4",107961.666666667,113352,"Q9H4G4","nonmito",""
"GLMN","Q92990",160420,164246.333333333,"Q92990","nonmito",""
"GLO1","Q04760;Q04760-2",1561163.33333333,1406163.33333333,"Q04760","nonmito",""
"GLOD4","Q9HC38-2",382700.666666667,427771.333333333,"Q9HC38","mito",""
"GLRX3","O76003",827281.666666667,834887.666666667,"O76003","nonmito",""
"GLRX5","Q86SX6",542706.333333333,572354.333333333,"Q86SX6","mito",""
"GLS","O94925",204632.333333333,207771.666666667,"O94925","mito",""
"GLS","O94925-3",255487.666666667,244336,"O94925","mito",""
"GLTP","Q9NZD2",115597.666666667,112302.666666667,"Q9NZD2","nonmito",""
"GLUD1","P00367",467697,457863.333333333,"P00367","mito",""
"GLUL","P15104",316504,340714,"P15104","nonmito",""
"GLYR1","Q49A26",225017,208576,"Q49A26","nonmito",""
"GM2A","P17900",120970,80233.3666666667,"P17900","nonmito",""
"GMDS","O60547;O60547-2",137287,122653,"O60547","nonmito",""
"GMEB1","Q9Y692;Q9Y692-2",144837.333333333,124647.666666667,"Q9Y692","nonmito",""
"GMEB2","Q9UKD1",40351.2,43949.0666666667,"Q9UKD1","nonmito",""
"GMFB","P60983",638792,637449.666666667,"P60983","nonmito",""
"GMNN","O75496",142179.333333333,161721.666666667,"O75496","nonmito",""
"GMPPA","Q96IJ6",263909,259236,"Q96IJ6","nonmito",""
"GMPPB","Q9Y5P6;Q9Y5P6-2",235374.666666667,246502.666666667,"Q9Y5P6","nonmito",""
"GMPR2","Q9P2T1;Q9P2T1-2",181388.333333333,177076,"Q9P2T1","nonmito",""
"GMPS","P49915",515082,507462.666666667,"P49915","nonmito",""
"GNA11","P29992",225106,227145.666666667,"P29992","nonmito",""
"GNA13","Q14344",168291.666666667,158122,"Q14344","nonmito",""
"GNAI1","P63096;P63096-2",75560.1666666667,78567.9333333333,"P63096","nonmito",""
"GNAI2","P04899;P04899-2;P04899-3;P04899-5;P04899-6",285085.333333333,318386.333333333,"P04899","nonmito",""
"GNAI3","P08754",379739,409078,"P08754","nonmito",""
"GNAQ","P50148",245400,240952.333333333,"P50148","nonmito",""
"GNAS","P63092;P63092-4;Q5JWF2",234658.666666667,245498,"Q5JWF2","nonmito",""
"GNAZ","P19086",152951.533333333,95365.8,"P19086","nonmito",""
"GNB1","P62873;P62873-2",532443.666666667,559587.666666667,"P62873","nonmito",""
"GNB1L","Q9BYB4",176122,198860,"Q9BYB4","nonmito",""
"GNB2","P62879",517309,521389.666666667,"P62879","nonmito",""
"GNB4","Q9HAV0",81156.2333333333,91763.9,"Q9HAV0","nonmito",""
"GNE","Q9Y223;Q9Y223-2",148170,154503.333333333,"Q9Y223","nonmito",""
"GNG12","Q9UBI6",145898,149997.333333333,"Q9UBI6","nonmito",""
"GNG5","P63218",46690.3,68550.7333333333,"P63218","nonmito",""
"GNL1","P36915",238272.666666667,240232.666666667,"P36915","nonmito",""
"GNL2","Q13823",224510.666666667,210096,"Q13823","nonmito",""
"GNL3","Q9BVP2;Q9BVP2-2",493206.666666667,480167.333333333,"Q9BVP2","nonmito",""
"GNL3L","Q9NVN8",209100.333333333,202092,"Q9NVN8","nonmito",""
"GNPAT","O15228",130094.333333333,138761,"O15228","nonmito",""
"GNPDA1","P46926",497722,460838.333333333,"P46926","nonmito",""
"GNPDA2","Q8TDQ7",385577.333333333,420536,"Q8TDQ7","nonmito",""
"GNPNAT1","Q96EK6",307599.666666667,317404.333333333,"Q96EK6","nonmito",""
"GNS","P15586",324783,314376.333333333,"P15586","nonmito",""
"GOLGA1","Q92805",55022.2,53066.1333333333,"Q92805","nonmito",""
"GOLGA2","Q08379",106183,109841,"Q08379","nonmito",""
"GOLGA3","Q08378",123169.333333333,121383,"Q08378","nonmito",""
"GOLGA4","Q13439;Q13439-3;Q13439-4;Q13439-5",97381.4333333333,96024.4,"Q13439","nonmito",""
"GOLGA5","Q8TBA6",106814,105752,"Q8TBA6","nonmito",""
"GOLGB1","Q14789",102797.666666667,97871.5333333333,"Q14789","nonmito",""
"GOLIM4","O00461",60540.9666666667,43562.1333333333,"O00461","nonmito",""
"GOLM1","Q8NBJ4;Q8NBJ4-2",98167.3333333333,72807.5,"Q8NBJ4","nonmito",""
"GOLPH3","Q9H4A6",132859,132788.333333333,"Q9H4A6","mito",""
"GOLPH3L","Q9H4A5",226735.666666667,257641,"Q9H4A5","nonmito",""
"GON4L","Q3T8J9;Q3T8J9-3",71137.1333333333,67498.3,"Q3T8J9","nonmito",""
"GOPC","Q9HD26;Q9HD26-2",193119.666666667,191926.666666667,"Q9HD26","nonmito",""
"GORASP1","Q9BQQ3;Q9BQQ3-2",48377.8333333333,90757.9666666667,"Q9BQQ3","nonmito",""
"GORASP2","Q9H8Y8;Q9H8Y8-2;Q9H8Y8-3",389393.333333333,387022.333333333,"Q9H8Y8","nonmito",""
"GOSR1","O95249",88287.6,89518.7666666667,"O95249","nonmito",""
"GOSR2","O14653;O14653-2",112268.266666667,137199,"O14653","nonmito",""
"GOT1","P17174",523459.333333333,511662,"P17174","nonmito",""
"GOT2","P00505",637865.666666667,605827.333333333,"P00505","mito",""
"GPAA1","O43292",184624,194664,"O43292","nonmito",""
"GPALPP1","Q8IXQ4",110702.666666667,106656.333333333,"Q8IXQ4","nonmito",""
"GPAM","Q9HCL2",94825.4666666667,91971.0333333333,"Q9HCL2","mito",""
