"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"AP1G1","O43747;O43747-2",134212.8,109083.666666667,"nonmito",""
"AP1M1","Q9BXS5;Q9BXS5-2",149580.8,166089.333333333,"nonmito",""
"AP1S1","P61966",76535.64,79439.9,"nonmito",""
"AP1S2","P56377",105519.66,103716.3,"nonmito",""
"AP2A1","O95782;O95782-2",203458.8,134330,"nonmito",""
"AP2A2","O94973",166651.4,131309,"nonmito",""
"AP2B1","P63010;P63010-2",208656.6,152112,"nonmito",""
"AP2M1","Q96CW1;Q96CW1-2",238470,209507.666666667,"nonmito",""
"AP2S1","P53680",203614.2,165792.333333333,"nonmito",""
"AP3B1","O00203;O00203-3",139913.4,114564.666666667,"nonmito",""
"AP3B2","Q13367;Q13367-4",98663.32,84260.2,"nonmito",""
"AP3D1","O14617;O14617-5",110310.4,99156.2666666667,"nonmito",""
"AP3M1","Q9Y2T2",196732.4,170989.333333333,"nonmito",""
"AP3M2","P53677",102126.62,80548.8,"nonmito",""
"AP3S1","Q92572",185163.6,150840.333333333,"nonmito",""
"AP4E1","Q9UPM8",32568.575,26387.4,"nonmito",""
"AP4M1","O00189",62504.64,49544.2333333333,"nonmito",""
"AP5B1","Q2VPB7",25212.64,18774.35,"nonmito",""
"AP5Z1","O43299",22403.5,24038.1666666667,"nonmito",""
"APAF1","O14727;O14727-4;O14727-5",43580.64,26255.6666666667,"nonmito",""
"APBB1","O00213;O00213-2",224625,197673,"nonmito",""
"APBB1IP","Q7Z5R6",69304.36,40425.8666666667,"nonmito",""
"APEH","P13798",210720,198548,"nonmito",""
"APEX1","P27695",104886.74,192080.666666667,"mito",""
"APH1A","Q96BI3;Q96BI3-2",44024.08,78717.6666666667,"nonmito",""
"API5","Q9BZZ5",132440.6,123751,"nonmito",""
"APIP","Q96GX9",59136.18,92327.4666666667,"nonmito",""
"APLP2","Q06481;Q06481-3;Q06481-6",61938.7,33939.0666666667,"nonmito",""
"APMAP","Q9HDC9",400037,337742,"nonmito",""
"APOB","P04114",178610.4,94702.0666666667,"nonmito",""
"APOBEC3B","Q9UH17",59750.75,110844.666666667,"nonmito",""
"APOBEC3C","Q9NRW3",121079.34,190259,"nonmito",""
"APOL2","Q9BQE5",97361.62,87338.4666666667,"nonmito",""
"APOO","Q9BUR5;Q9BUR5-2",85340.38,116836.666666667,"mito",""
"APOOL","Q6UXV4",86346.32,88119.3333333333,"mito",""
"APP","P05067;P05067-9",60174.8,72418.3333333333,"nonmito",""
"APPL1","Q9UKG1",49905.42,74688.0333333333,"nonmito",""
"APPL2","Q8NEU8",126903,104800.666666667,"nonmito",""
"APRT","P07741",222294.2,156630.333333333,"nonmito",""
"AQR","O60306",74285.9,63905.8,"nonmito",""
"ARAF","P10398",56713.92,73263.5333333333,"nonmito",""
"ARAP1","Q96P48;Q96P48-3",68056.04,64787.5,"nonmito",""
"ARCN1","P48444",166988.4,148425,"nonmito",""
"ARF1","P84077",500372.8,471077.666666667,"nonmito",""
"ARF4","P18085",1178988,1023595.66666667,"nonmito",""
"ARF5","P84085",118765.2,161639.333333333,"mito",""
"ARF6","P62330",247486.8,301218,"nonmito",""
"ARFGAP1","Q8N6T3",55686.44,44092.8333333333,"nonmito",""
"ARFGAP2","Q8N6H7",84206.94,72797.4333333333,"nonmito",""
"ARFGAP3","Q9NP61;Q9NP61-2",86412.5,61588.9333333333,"nonmito",""
"ARFGEF1","Q9Y6D6",51347.02,42767.2,"nonmito",""
"ARFGEF2","Q9Y6D5",53747.84,46627.3333333333,"nonmito",""
"ARFIP1","P53367-2",82888.68,60618.4333333333,"nonmito",""
"ARFIP2","P53365;P53365-3",48717.16,40637.6333333333,"nonmito",""
"ARGLU1","Q9NWB6",54149.24,83717.5333333333,"nonmito",""
"ARHGAP1","Q07960",270065.6,179714,"nonmito",""
"ARHGAP10","A1A4S6",43644.86,34658.5,"nonmito",""
"ARHGAP12","Q8IWW6;Q8IWW6-2;Q8IWW6-4",38958.42,31248.7333333333,"nonmito",""
"ARHGAP17","Q68EM7",141276.4,93792.1333333333,"nonmito",""
"ARHGAP18","Q8N392",78302.22,54356.1,"nonmito",""
"ARHGAP21","Q5T5U3",20227.74,18452.1666666667,"nonmito",""
"ARHGAP22","Q7Z5H3;Q7Z5H3-2;Q7Z5H3-3;Q7Z5H3-5",75747.775,89344.8333333333,"nonmito",""
"ARHGAP24","Q8N264;Q8N264-3",40532.64,65441.5666666667,"nonmito",""
"ARHGAP29","Q52LW3",74841.18,67626.9666666667,"nonmito",""
"ARHGAP35","Q9NRY4",62737.94,66699.4,"nonmito",""
"ARHGAP5","Q13017;Q13017-2",31889.76,37709.6666666667,"nonmito",""
"ARHGDIA","P52565",323970.2,433880.333333333,"nonmito",""
"ARHGEF1","Q92888;Q92888-3",96776.42,95954.3333333333,"nonmito",""
"ARHGEF10","O15013;O15013-4;O15013-5;O15013-6;O15013-7",51268.68,45745.1333333333,"nonmito",""
"ARHGEF11","O15085;O15085-2",55345.38,32075.7,"nonmito",""
"ARHGEF12","Q9NZN5",60151,42630.2,"nonmito",""
"ARHGEF17","Q96PE2",39490.38,34768.6,"nonmito",""
"ARHGEF18","Q6ZSZ5;Q6ZSZ5-1;Q6ZSZ5-2;Q6ZSZ5-5;Q6ZSZ5-6",102503.68,75579.6333333333,"nonmito",""
"ARHGEF2","Q92974;Q92974-2;Q92974-3",107192.28,102704.533333333,"nonmito",""
"ARHGEF40","Q8TER5",48136.6,39336.8333333333,"nonmito",""
"ARHGEF6","Q15052;Q15052-2",122506.2,147754.333333333,"nonmito",""
"ARHGEF7","Q14155-1;Q14155-5",104162.46,102394.333333333,"nonmito",""
"ARID1A","O14497;O14497-3",46534.42,38458.7,"nonmito",""
"ARID1B","Q8NFD5;Q8NFD5-2;Q8NFD5-3",15467.0566666667,29257.4,"nonmito",""
"ARID2","Q68CP9;Q68CP9-3",48591.38,49902.7333333333,"nonmito",""
"ARIH1","Q9Y4X5",46203.22,49332.1,"nonmito",""
"ARIH2","O95376",48410.24,65311.3666666667,"nonmito",""
"ARL1","P40616;P40616-2",367229.4,342535,"nonmito",""
"ARL2","P36404",135604.44,167821.666666667,"mito",""
"ARL2BP","Q9Y2Y0;Q9Y2Y0-2",73603.6,89434.8,"nonmito",""
"ARL3","P36405",238988.6,339134.666666667,"nonmito",""
"ARL6","Q9H0F7;Q9H0F7-2",29698.5333333333,9568.035,"nonmito",""
"ARL6IP4","Q66PJ3;Q66PJ3-2;Q66PJ3-3;Q66PJ3-7",34822.6,38259.5,"nonmito",""
"ARL6IP5","O75915",255478.2,302227.666666667,"nonmito",""
"ARL8B","Q9NVJ2",278300.2,295441.333333333,"nonmito",""
"ARMC1","Q9NVT9",52393.2666666667,49935,"nonmito",""
"ARMC10","Q8N2F6;Q8N2F6-2;Q8N2F6-3;Q8N2F6-4",48212.52,48313.2666666667,"mito",""
"ARMC5","Q96C12;Q96C12-2;Q96C12-3;Q96C12-4",15486.02,12954.2,"nonmito",""
"ARMC6","Q6NXE6;Q6NXE6-2",31770.38,32377.1,"nonmito",""
"ARMC8","Q8IUR7",59378.66,52378.9,"nonmito",""
"ARMC9","Q7Z3E5;Q7Z3E5-2",115310.7,110591.666666667,"nonmito",""
"ARMCX1","Q9P291",78228.32,101733,"mito",""
"ARMCX2","Q7L311",89988.18,102619.6,"mito",""
"ARMCX3","Q9UH62",118968.2,154318,"mito",""
"ARMH3","Q5T2E6",32038.3,33992.9,"nonmito",""
"ARMT1","Q9H993",111762.94,75825.9666666667,"nonmito",""
"ARPC1A","Q92747",169947,191149.666666667,"nonmito",""
"ARPC1B","O15143",185715.8,225335,"nonmito",""
"ARPC2","O15144",272715.2,270307,"nonmito",""
"ARPC3","O15145",229788.4,164648.666666667,"nonmito",""
"ARPC4","P59998;P59998-3",472308.2,460664.666666667,"nonmito",""
"ARPC5","O15511",187638.4,242269.333333333,"nonmito",""
"ARPC5L","Q9BPX5",358114,354895,"nonmito",""
"ARPIN","Q7Z6K5;Q7Z6K5-2",62169.02,107956,"nonmito",""
"ARSA","P15289;P15289-2",167407.2,90167.4,"nonmito",""
"ARSB","P15848",89712.66,78418.6,"nonmito",""
"AS3MT","Q9HBK9",47277.3,62396.4666666667,"nonmito",""
"ASAH1","Q13510;Q13510-2",194072.2,194730,"nonmito",""
"ASAP1","Q9ULH1;Q9ULH1-2",64991.18,54137.4333333333,"nonmito",""
"ASAP2","O43150;O43150-2",28684.2,26633.9666666667,"nonmito",""
"ASCC1","Q8N9N2-2",65659.62,54364.7666666667,"nonmito",""
"ASCC2","Q9H1I8",104495.4,81361.4666666667,"nonmito",""
"ASCC3","Q8N3C0",79225.04,65513.3666666667,"nonmito",""
"ASF1A","Q9Y294",19186.5,61945.5,"nonmito",""
"ASH2L","Q9UBL3;Q9UBL3-3",27937.72,34592,"nonmito",""
"ASL","P04424;P04424-2",146553,107475.333333333,"nonmito",""
"ASMTL","O95671",45725.58,69748.9,"nonmito",""
"ASNS","P08243;P08243-2",153514.16,97181.8333333333,"nonmito",""
"ASPH","Q12797;Q12797-10",295124.2,226278,"nonmito",""
"ASPSCR1","Q9BZE9;Q9BZE9-2",55940.14,68723.3666666667,"nonmito",""
"ASS1","P00966",306476.48,252657.333333333,"nonmito",""
"ATAD1","Q8NBU5",76228.54,80433.2333333333,"mito",""
"ATAD3A","Q9NVI7-2",234424,251147.666666667,"mito",""
"ATAD3B","Q5T9A4",67152.725,85594.1,"mito",""
"ATE1","O95260-2",62242.02,56738.4666666667,"nonmito",""
"ATG101","Q9BSB4",31954.9666666667,43403.9666666667,"nonmito",""
"ATG16L1","Q676U5;Q676U5-2",62109.12,45354.6666666667,"nonmito",""
"ATG2A","Q2TAZ0;Q2TAZ0-3",35798.52,31578.6,"nonmito",""
"ATG2B","Q96BY7",41926.06,35058.0666666667,"nonmito",""
"ATG3","Q9NT62",130166,133922,"nonmito",""
"ATG4B","Q9Y4P1;Q9Y4P1-2;Q9Y4P1-6",43475.32,57831.2333333333,"nonmito",""
"ATG5","Q9H1Y0",77323.52,75124.6666666667,"nonmito",""
"ATG7","O95352",81827.9,80266.2333333333,"nonmito",""
"ATG9A","Q7Z3C6",52323.82,44857.8,"nonmito",""
"ATIC","P31939",281729,254508.333333333,"nonmito",""
"ATL1","Q8WXF7;Q8WXF7-2",49187.14,38413.9,"nonmito",""
"ATL2","Q8NHH9;Q8NHH9-3;Q8NHH9-5",31778.02,42960.5333333333,"nonmito",""
"ATL3","Q6DD88",202455.4,181492,"nonmito",""
"ATOX1","O00244",92993.2,75247.1666666667,"nonmito",""
"ATP11B","Q9Y2G3",81971.8,59879.5,"nonmito",""
"ATP11C","Q8NB49-3",78417.8,69072.1666666667,"nonmito",""
"ATP13A1","Q9HD20;Q9HD20-2",95387.86,70516.3333333333,"nonmito",""
"ATP13A3","Q9H7F0",57785.26,57245.5333333333,"nonmito",""
"ATP1A1","P05023;P05023-4",164045,157099.333333333,"nonmito",""
"ATP1B1","P05026;P05026-2",63912.22,35394.9,"nonmito",""
"ATP1B3","P54709",359941.8,361804.333333333,"nonmito",""
"ATP2A2","P16615",181716,205950.666666667,"nonmito",""
"ATP2B1","P20020;P20020-1;P20020-4;P20020-6",165453.2,151650.666666667,"nonmito",""
"ATP2B4","P23634;P23634-6;P23634-7;P23634-8",226659,236882,"nonmito",""
"ATP2C1","P98194-3",64117.06,70846.7,"nonmito",""
"ATP5F1A","P25705",973373.2,859470.666666667,"mito","CV"
"ATP5F1B","P06576",726352.8,724470.666666667,"mito","CV"
"ATP5F1C","P36542;P36542-2",299315,295130.666666667,"mito","CV"
"ATP5F1D","P30049",71564.9,112161,"mito","CV"
"ATP5IF1","Q9UII2",83146.92,66684.0333333333,"mito","CV"
"ATP5MD","Q96IX5",114149.44,178710.333333333,"mito","CV"
"ATP5ME","P56385",123635.26,107647,"mito","CV"
"ATP5MF","P56134;P56134-3",631421,908984,"mito","CV"
"ATP5MG","O75964",306790.2,277648,"mito","CV"
"ATP5MPL","P56378",114894.76,125962,"mito","CV"
"ATP5PB","P24539",144759.6,141805,"mito","CV"
"ATP5PD","O75947",105596.32,109251.833333333,"mito","CV"
"ATP5PO","P48047",476888.6,453805,"mito","CV"
"ATP6AP1","Q15904",122719.2,89511.8,"nonmito",""
"ATP6AP2","O75787;O75787-2",63192.58,60130.7,"nonmito",""
"ATP6V0A1","Q93050;Q93050-1;Q93050-3",126080.84,99831.5333333333,"nonmito",""
"ATP6V0A2","Q9Y487",51003.98,63639.0666666667,"nonmito",""
"ATP6V0D1","P61421",164327.8,139276,"nonmito",""
"ATP6V1A","P38606",184571.4,198359,"nonmito",""
"ATP6V1B2","P21281",242843.2,282779,"nonmito",""
"ATP6V1C1","P21283",91409.52,93621.1333333333,"nonmito",""
"ATP6V1D","Q9Y5K8",87067.52,101067.666666667,"nonmito",""
"ATP6V1E1","P36543",267637.6,305490.333333333,"nonmito",""
"ATP6V1F","Q16864;Q16864-2",80883.78,80835.2666666667,"nonmito",""
"ATP6V1G1","O75348",127645.6,128996,"nonmito",""
"ATP6V1H","Q9UI12;Q9UI12-2",77088.12,70014.4666666667,"nonmito",""
"ATP8B1","O43520",57802.8666666667,50214.05,"nonmito",""
"ATP8B2","P98198;P98198-3",41739.72,29239.1,"nonmito",""
"ATP9A","O75110",67013.2,76321.9333333333,"nonmito",""
"ATPAF1","Q5TC12;Q5TC12-2;Q5TC12-3",101954.125,65761.5,"mito",""
"ATPAF2","Q8N5M1",42224.4,48404.7,"mito",""
"ATRN","O75882",24112.64,33829.3,"nonmito",""
"ATRX","P46100",40296.7,53726.7,"nonmito",""
"ATXN10","Q9UBB4",95765.34,94607.1666666667,"nonmito",""
"ATXN2","Q99700;Q99700-2;Q99700-4",64006.14,53245.6666666667,"nonmito",""
"ATXN2L","Q8WWM7;Q8WWM7-2;Q8WWM7-3;Q8WWM7-4;Q8WWM7-5;Q8WWM7-6;Q8WWM7-8;Q8WWM7-9",61975.1,69126.8666666667,"nonmito",""
