"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"KRR1","Q13601",246215,233777.333333333,"Q13601","nonmito",""
"KTI12","Q96EK9",133317,112804.333333333,"Q96EK9","nonmito",""
"KTN1","Q86UP2",149074.666666667,142429.666666667,"Q86UP2","nonmito",""
"KXD1","Q9BQD3",64652.6,81910.5,"Q9BQD3","nonmito",""
"KYAT3","Q6YP21;Q6YP21-3",206552.333333333,190364,"Q6YP21","mito",""
"L2HGDH","Q9H9P8",134272.333333333,126856,"Q9H9P8","mito",""
"L3HYPDH","Q96EM0",317704.666666667,206836.333333333,"Q96EM0","nonmito",""
"L3MBTL3","Q96JM7;Q96JM7-2",93449.9,90150.8333333333,"Q96JM7","nonmito",""
"LACTB","P83111",98265.0666666667,97379.3666666667,"P83111","mito",""
"LACTB2","Q53H82",192791.333333333,146000,"Q53H82","mito",""
"LAGE3","Q14657",177873.666666667,171431.666666667,"Q14657","nonmito",""
"LAMB1","P07942",101361.433333333,94953.6666666667,"P07942","nonmito",""
"LAMB2","P55268",107528.566666667,86950.2,"P55268","nonmito",""
"LAMC1","P11047",91319.6333333333,88872.3666666667,"P11047","nonmito",""
"LAMP1","P11279;P11279-2",360907,389114.666666667,"P11279","nonmito",""
"LAMP2","P13473;P13473-2;P13473-3",833638.666666667,651443.333333333,"P13473","nonmito",""
"LAMTOR1","Q6IAA8",241134.333333333,242538,"Q6IAA8","nonmito",""
"LAMTOR2","Q9Y2Q5;Q9Y2Q5-2",343387.333333333,406764.666666667,"Q9Y2Q5","nonmito",""
"LAMTOR3","Q9UHA4;Q9UHA4-2",470563.666666667,415245,"Q9UHA4","nonmito",""
"LAMTOR4","Q0VGL1",492506.333333333,258370.666666667,"Q0VGL1","nonmito",""
"LAMTOR5","O43504",366251,330107.333333333,"O43504","nonmito",""
"LANCL1","O43813",313959,271856,"O43813","nonmito",""
"LANCL2","Q9NS86",262437,286075,"Q9NS86","nonmito",""
"LAP3","P28838",328946.666666667,325855,"P28838","mito",""
"LARP1","Q6PKG0",247055,251317,"Q6PKG0","nonmito",""
"LARP1B","Q659C4",77678.1,92151.2,"Q659C4","nonmito",""
"LARP4","Q71RC2;Q71RC2-4",217749.333333333,254270.333333333,"Q71RC2","nonmito",""
"LARP4B","Q92615",237597.666666667,239560.666666667,"Q92615","nonmito",""
"LARP6","Q9BRS8",84865.1,51619.5,"Q9BRS8","nonmito",""
"LARP7","Q4G0J3;Q4G0J3-3",193268.666666667,192293.666666667,"Q4G0J3","nonmito",""
"LARS1","Q9P2J5",379366.666666667,324869,"Q9P2J5","nonmito",""
"LARS2","Q15031",203793,181689.333333333,"Q15031","mito",""
"LAS1L","Q9Y4W2;Q9Y4W2-2",243728.333333333,258196,"Q9Y4W2","nonmito",""
"LASP1","Q14847;Q14847-2",107090,87359.6,"Q14847","nonmito",""
"LATS1","O95835",141268.366666667,169926,"O95835","nonmito",""
"LBR","Q14739",587743.333333333,590142,"Q14739","nonmito",""
"LCLAT1","Q6UWP7;Q6UWP7-3",236402.666666667,243167.666666667,"Q6UWP7","nonmito",""
"LCMT1","Q9UIC8;Q9UIC8-2",190088,180869.333333333,"Q9UIC8","nonmito",""
"LCMT2","O60294",96902.3666666667,86403.9,"O60294","nonmito",""
