"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"BLOC1S4","Q9NUP1",114767.333333333,111702.666666667,"Q9NUP1","nonmito",""
"BLOC1S5","Q8TDH9",70275.3666666667,87922.7,"Q8TDH9","nonmito",""
"BLVRA","P53004",1005234.33333333,516730.666666667,"P53004","nonmito",""
"BLVRB","P30043",597452.666666667,327931,"P30043","nonmito",""
"BMI1","P35226",89571.1,86963.1333333333,"0","nonmito",""
"BMS1","Q14692",123001,156878,"Q14692","nonmito",""
"BNIP1","Q12981",185665,174188.666666667,"Q12981","nonmito",""
"BNIP2","Q12982;Q12982-2",56062.6666666667,37403.8333333333,"Q12982","nonmito",""
"BOD1","Q96IK1",174359.333333333,228256,"Q96IK1","nonmito",""
"BOD1L1","Q8NFC6",64135.8,77646.6333333333,"Q8NFC6","nonmito",""
"BOLA1","Q9Y3E2",157041,131371.333333333,"Q9Y3E2","mito",""
"BOLA2","Q9H3K6",651746,821718.666666667,"0","nonmito",""
"BOLA3","Q53S33",81048.2666666667,65379.2666666667,"Q53S33","mito",""
"BOP1","Q14137",288429,333158.666666667,"Q14137","nonmito",""
"BORCS5","Q969J3",192960.333333333,157855,"Q969J3","nonmito",""
"BORCS6","Q96GS4",126818,112437.333333333,"Q96GS4","nonmito",""
"BPGM","P07738",181385,144080.666666667,"P07738","nonmito",""
"BPHL","Q86WA6;Q86WA6-2",103369.766666667,103284.333333333,"Q86WA6","mito",""
"BPNT1","O95861",419127,335608,"O95861","nonmito",""
"BPNT2","Q9NX62",189426.666666667,98134.0666666667,"Q9NX62","nonmito",""
"BPTF","Q12830;Q12830-4",110709,117192,"Q12830","nonmito",""
"BRAF","P15056",133260.666666667,125636,"P15056","nonmito",""
"BRAP","Q7Z569",86141.4333333333,84365.9333333333,"Q7Z569","nonmito",""
"BRAT1","Q6PJG6",95530.2666666667,166653,"Q6PJG6","nonmito",""
"BRCA1","P38398;P38398-4;P38398-7;P38398-8",54268.1,49101.9666666667,"P38398","nonmito",""
"BRCC3","P46736;P46736-2;P46736-3",129572.666666667,124961,"P46736","nonmito",""
"BRD1","O95696;O95696-2",91799.1666666667,92178.5333333333,"O95696","nonmito",""
"BRD2","P25440;P25440-2",147131.333333333,202256.666666667,"P25440","nonmito",""
"BRD3","Q15059",129789.666666667,127475.333333333,"Q15059","nonmito",""
"BRD4","O60885",220899.666666667,202854,"O60885","nonmito",""
"BRD7","Q9NPI1",105618.333333333,110265.666666667,"Q9NPI1","nonmito",""
"BRD8","Q9H0E9-2",142797.666666667,159437.333333333,"Q9H0E9","nonmito",""
"BRI3BP","Q8WY22",343845.333333333,238157,"Q8WY22","nonmito",""
"BRIX1","Q8TDN6",240459.333333333,265803.333333333,"Q8TDN6","nonmito",""
"BRMS1L","Q5PSV4;Q5PSV4-2",105372.433333333,121740,"Q5PSV4","nonmito",""
"BROX","Q5VW32;Q5VW32-2",204178.333333333,178079,"Q5VW32","nonmito",""
"BRPF1","P55201;P55201-3",77887.8333333333,87996.1333333333,"P55201","nonmito",""
"BSDC1","Q9NW68;Q9NW68-2;Q9NW68-3;Q9NW68-7",241968,248641.666666667,"Q9NW68","nonmito",""
"BSG","P35613;P35613-2",681366,738954.333333333,"P35613","nonmito",""
"BTAF1","O14981",98012.8333333333,108511.333333333,"O14981","nonmito",""
"BTD","P43251;P43251-2;P43251-3;P43251-4",199576,221439,"P43251","nonmito",""
"BTF3","P20290",352912.666666667,447458.333333333,"P20290","nonmito",""
"BTF3L4","Q96K17",402425,331806.666666667,"Q96K17","nonmito",""
"BTN2A1","Q7KYR7",52710.8,47312.6666666667,"Q7KYR7","nonmito",""
"BTRC","Q9Y297;Q9Y297-2",178872.666666667,138201.666666667,"Q9Y297","nonmito",""
"BUB1","O43683;O43683-2",69209.7666666667,67662.5666666667,"O43683","nonmito",""
"BUB1B","O60566;O60566-3",97221.2,105933,"O60566","nonmito",""
"BUB3","O43684;O43684-2",712944.666666667,750602.333333333,"O43684","nonmito",""
"BUD13","Q9BRD0",106517.333333333,95545.9,"Q9BRD0","nonmito",""
"BUD23","O43709;O43709-3",180857,222015,"O43709","nonmito",""
"BUD31","P41223",314091.333333333,307882.666666667,"P41223","nonmito",""
"BYSL","Q13895",164287.333333333,284788.666666667,"Q13895","nonmito",""
"BZW1","Q7L1Q6;Q7L1Q6-3;Q7L1Q6-4",275064.333333333,315600,"Q7L1Q6","nonmito",""
"BZW2","Q9Y6E2",216145.333333333,357049.333333333,"Q9Y6E2","nonmito",""
"C11orf54","Q9H0W9;Q9H0W9-2",274964,182522.666666667,"Q9H0W9","nonmito",""
"C11orf68","Q9H3H3;Q9H3H3-1;Q9H3H3-3",136182.666666667,130267.666666667,"Q9H3H3","nonmito",""
"C11orf98","E9PRG8",262644.333333333,275861.666666667,"A0A0B4J220","nonmito",""
"C12orf29","Q8N999",157646,155220.666666667,"Q8N999","nonmito",""
"C12orf45","Q8N5I9",56999,67229.1666666667,"Q8N5I9","nonmito",""
"C15orf40","Q8WUR7",140369,117809.333333333,"Q8WUR7","nonmito",""
"C16orf70","Q9BSU1",143364.333333333,168129.333333333,"Q9BSU1","nonmito",""
"C16orf87","Q6PH81;Q6PH81-2",116275,125760,"Q6PH81","nonmito",""
"C17orf75","Q9HAS0",137674.666666667,118727,"Q9HAS0","nonmito",""
"C18orf25","Q96B23;Q96B23-2",123763.333333333,144165.333333333,"Q96B23","nonmito",""
"C19orf53","Q9UNZ5",306644.333333333,278008.333333333,"Q9UNZ5","nonmito",""
"C19orf54","Q5BKX5",96809.7333333333,110924,"Q5BKX5","nonmito",""
"C1D","Q13901",156329.333333333,185721,"Q13901","nonmito",""
"C1orf112","Q9NSG2",104360.333333333,87892.9666666667,"Q9NSG2","nonmito",""
"C1orf122","Q6ZSJ8",153922,213111.333333333,"Q6ZSJ8","nonmito",""
"C1orf131","Q8NDD1;Q8NDD1-5",116590.666666667,209842.666666667,"Q8NDD1","nonmito",""
"C1orf198","Q9H425",106840.666666667,127111.666666667,"Q9H425","nonmito",""
"C1orf50","Q9BV19",71546.9333333333,57779.9,"Q9BV19","nonmito",""
"C1orf52","Q8N6N3;Q8N6N3-2",264098.333333333,292477,"Q8N6N3","nonmito",""
"C1QBP","Q07021",653699.666666667,999417.666666667,"Q07021","mito",""
"C20orf27","Q9GZN8;Q9GZN8-2",345326.333333333,325575.333333333,"Q9GZN8","nonmito",""
"C2CD2L","O14523",63532.8333333333,38992.4666666667,"O14523","nonmito",""
"C2CD5","Q86YS7;Q86YS7-2;Q86YS7-3;Q86YS7-4",110095.666666667,104531.6,"Q86YS7","nonmito",""
"C2orf49","Q9BVC5",95658.4,79858.1666666667,"Q9BVC5","nonmito",""
"C2orf69","Q8N8R5",74976.9333333333,78829.0333333333,"Q8N8R5","mito",""
"C2orf76","Q3KRA6",142674.666666667,126176,"Q3KRA6","nonmito",""
"C3orf38","Q5JPI3;Q5JPI3-2",77824.2666666667,83612.3333333333,"Q5JPI3","nonmito",""
"C5orf22","Q49AR2",96651.5,103464,"Q49AR2","nonmito",""
"C5orf24","Q7Z6I8",83916.2333333333,112325,"Q7Z6I8","nonmito",""
"C5orf51","A6NDU8",122408.333333333,135642.333333333,"A6NDU8","nonmito",""
"C6orf120","Q7Z4R8",205182,189167.333333333,"Q7Z4R8","nonmito",""
"C7orf25","Q9BPX7;Q9BPX7-2",93312.9333333333,82148.85,"Q9BPX7","nonmito",""
"C7orf26","Q96N11",61839.4,68469.2,"Q96N11","nonmito",""
"C7orf50","Q9BRJ6",149411,271000,"Q9BRJ6","nonmito",""
"C8orf33","Q9H7E9;Q9H7E9-2",234715.666666667,353698.333333333,"Q9H7E9","nonmito",""
"C8orf82","Q6P1X6",159155,149087.333333333,"Q6P1X6","mito",""
"C9orf40","Q8IXQ3",207210.333333333,233251,"Q8IXQ3","nonmito",""
"C9orf64","Q5T6V5",283907.666666667,256293.666666667,"Q5T6V5","nonmito",""
"C9orf78","Q9NZ63",204946.666666667,213733.666666667,"Q9NZ63","nonmito",""
"CA2","P00918",704710.666666667,511596.666666667,"P00918","nonmito",""
"CA8","P35219",228600.333333333,140623.666666667,"P35219","nonmito",""
"CAAP1","Q9H8G2",130076.666666667,97134.4666666667,"Q9H8G2","nonmito",""
"CAB39","Q9Y376",148204,156374.666666667,"Q9Y376","nonmito",""
"CABIN1","Q9Y6J0;Q9Y6J0-2",152837,147843.333333333,"Q9Y6J0","nonmito",""
"CACNA2D1","P54289;P54289-4;P54289-5",76048.1333333333,57198.2,"P54289","nonmito",""
"CACTIN","Q8WUQ7;Q8WUQ7-2",62093.5333333333,68614.6,"Q8WUQ7","nonmito",""
"CACUL1","Q86Y37",101947.133333333,105037.333333333,"Q86Y37","nonmito",""
"CACYBP","Q9HB71",767359.666666667,809405.333333333,"Q9HB71","nonmito",""
"CAD","P27708",458847.333333333,442108,"P27708","nonmito",""
"CADM1","Q9BY67;Q9BY67-3;Q9BY67-4;Q9BY67-5",306768,231741.333333333,"Q9BY67","nonmito",""
"CADM4","Q8NFZ8",68081.9,58265.9,"Q8NFZ8","nonmito",""
"CALCOCO1","Q9P1Z2;Q9P1Z2-2;Q9P1Z2-3",129925.333333333,74925.6,"Q9P1Z2","nonmito",""
"CALCOCO2","Q13137;Q13137-3;Q13137-4",172037,121446.666666667,"Q13137","nonmito",""
"CALD1","Q05682-5",244660,217670,"Q05682","nonmito",""
"CALR","P27797",1358710,840998,"P27797","nonmito",""
"CALU","O43852;O43852-3",532412,308355,"O43852","nonmito",""
"CALU","O43852-2;O43852-4",249269.666666667,153912.666666667,"O43852","nonmito",""
"CAMK1","Q14012",148197,107647.666666667,"Q14012","nonmito",""
"CAMK2D","Q13557;Q13557-10;Q13557-11;Q13557-12;Q13557-6;Q13557-8",155726.666666667,165372.333333333,"Q13557","nonmito",""
"CAMK2G","Q13555;Q13555-10;Q13555-11;Q13555-2;Q13555-3;Q13555-4;Q13555-5;Q13555-6;Q13555-7;Q13555-8;Q13555-9",169153,152968.333333333,"Q13555","nonmito",""
