"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"ANGEL1","Q9UNK9",66628.4666666667,52640.5333333333,"Q9UNK9","nonmito",""
"ANGEL2","Q5VTE6",54113.2,47493.4333333333,"Q5VTE6","mito",""
"ANK2","Q01484;Q01484-2;Q01484-5",84216.6333333333,78067.6666666667,"Q01484","nonmito",""
"ANK3","Q12955;Q12955-4;Q12955-5",118631,95738.2,"Q12955","nonmito",""
"ANKFY1","Q9P2R3",172146,167017,"Q9P2R3","nonmito",""
"ANKHD1","Q8IWZ3;Q8IWZ3-4;Q8IWZ3-6",150514.333333333,146289.666666667,"0","nonmito",""
"ANKLE2","Q86XL3",121007.666666667,126245.333333333,"Q86XL3","nonmito",""
"ANKMY2","Q8IV38",53687.4,56704.5333333333,"Q8IV38","nonmito",""
"ANKRD13A","Q8IZ07",184993.333333333,178001.666666667,"Q8IZ07","nonmito",""
"ANKRD17","O75179;O75179-2;O75179-7",177276.333333333,180814.666666667,"O75179","nonmito",""
"ANKRD28","O15084",137978.333333333,135270.666666667,"O15084","nonmito",""
"ANKRD40","Q6AI12",118655.666666667,111367,"Q6AI12","nonmito",""
"ANKRD49","Q8WVL7",66220.0666666667,59812.7666666667,"Q8WVL7","nonmito",""
"ANKRD52","Q8NB46",97989.4666666667,98980.9,"Q8NB46","nonmito",""
"ANKRD54","Q6NXT1",78295.1333333333,68175.9666666667,"Q6NXT1","nonmito",""
"ANKS1A","Q92625",92341.1,93984.9333333333,"Q92625","nonmito",""
"ANKZF1","Q9H8Y5",144870,141448.666666667,"Q9H8Y5","nonmito",""
"ANLN","Q9NQW6",82640.8333333333,88195.7666666667,"Q9NQW6","nonmito",""
"ANO10","Q9NW15",216077.666666667,231435.666666667,"Q9NW15","nonmito",""
"ANP32A","P39687",1444260,1400976.66666667,"P39687","nonmito",""
"ANP32B","Q92688;Q92688-2",1272750,1279113.33333333,"Q92688","nonmito",""
"ANP32E","Q9BTT0",500566,478016.333333333,"Q9BTT0","nonmito",""
"ANTXR1","Q9H6X2;Q9H6X2-5",57782.0666666667,65960.9,"Q9H6X2","nonmito",""
"ANXA1","P04083",47699.0666666667,57978.3333333333,"P04083","nonmito",""
"ANXA11","P50995;P50995-2",381045.333333333,348689,"P50995","nonmito",""
"ANXA2","P07355;P07355-2",677718.333333333,740580,"P07355","nonmito",""
"ANXA4","P09525",239563.333333333,192597.666666667,"P09525","nonmito",""
"ANXA5","P08758",1107390,1060240,"P08758","nonmito",""
"ANXA6","P08133",539789.333333333,541685.333333333,"P08133","nonmito",""
"ANXA7","P20073;P20073-2",383082.333333333,363305.333333333,"P20073","nonmito",""
"AP1AR","Q63HQ0",71355.1,72946.3,"Q63HQ0","nonmito",""
"AP1B1","Q10567;Q10567-2",379991,389886.666666667,"Q10567","nonmito",""
"AP1G1","O43747;O43747-2",299272,304437,"O43747","nonmito",""
"AP1G2","O75843",84317.2333333333,67837.6666666667,"O75843","nonmito",""
"AP1M1","Q9BXS5;Q9BXS5-2",258782,270581,"Q9BXS5","nonmito",""
"AP1S1","P61966",267361.333333333,267095.333333333,"P61966","nonmito",""
